horizon,test_year,feature_set,feature_count,auc,brier,log_loss,n_train,n_test,train_cutoff,test_start,test_end
20,2016,price_only,11,0.49565996987287464,0.27706636659157746,0.7849119214355302,10773,5292,2015-12-02,2016-01-04,2016-12-30
20,2016,price+legacy_news,14,0.4971548796643798,0.27580911815428844,0.781921864517584,10773,5292,2015-12-02,2016-01-04,2016-12-30
20,2016,price+extended_news,51,0.4987884102297079,0.27323456084735587,0.7663195138502168,10773,5292,2015-12-02,2016-01-04,2016-12-30
20,2016,price+extended_news+causal_state,54,0.4940399382553391,0.2736465977090304,0.7650522119744755,10773,5292,2015-12-02,2016-01-04,2016-12-30
20,2017,price_only,11,0.5309297616983437,0.24851421595531833,0.6969152512759248,16065,5271,2016-12-01,2017-01-03,2017-12-29
20,2017,price+legacy_news,14,0.5312421358294477,0.24852219233205833,0.6978075284989426,16065,5271,2016-12-01,2017-01-03,2017-12-29
20,2017,price+extended_news,51,0.541275130768717,0.24903792356245663,0.6989111378022521,16065,5271,2016-12-01,2017-01-03,2017-12-29
20,2017,price+extended_news+causal_state,54,0.5356873951303369,0.2511336913060064,0.7029916887927904,16065,5271,2016-12-01,2017-01-03,2017-12-29
20,2018,price_only,11,0.500062322596747,0.2725166072535655,0.7502725706004928,21336,5271,2017-11-30,2018-01-02,2018-12-31
20,2018,price+legacy_news,14,0.4996955198914995,0.27062476622985626,0.7445055815284977,21336,5271,2017-11-30,2018-01-02,2018-12-31
20,2018,price+extended_news,51,0.5091415361302465,0.2687435249667573,0.7415393181560955,21336,5271,2017-11-30,2018-01-02,2018-12-31
20,2018,price+extended_news+causal_state,54,0.5107766216916068,0.26783425319509874,0.7383338150409682,21336,5271,2017-11-30,2018-01-02,2018-12-31
20,2019,price_only,11,0.5116114326932704,0.25002983109869736,0.697419088979783,26607,5291,2018-11-29,2019-01-02,2019-12-31
20,2019,price+legacy_news,14,0.49905069543292935,0.25352012988688455,0.7051639217174825,26607,5291,2018-11-29,2019-01-02,2019-12-31
20,2019,price+extended_news,51,0.49367392718224856,0.25674152924641575,0.7115806381941996,26607,5291,2018-11-29,2019-01-02,2019-12-31
20,2019,price+extended_news+causal_state,54,0.4971356775424125,0.25698011129542825,0.7120167133271319,26607,5291,2018-11-29,2019-01-02,2019-12-31
20,2020,price_only,11,0.5193753645881305,0.23945384330881536,0.6728393726528994,31898,4437,2019-12-02,2020-01-02,2020-12-31
20,2020,price+legacy_news,14,0.5255140418514279,0.23812107245555972,0.669697710501132,31898,4437,2019-12-02,2020-01-02,2020-12-31
20,2020,price+extended_news,51,0.5403122628806519,0.23469538154937272,0.6620742496312157,31898,4437,2019-12-02,2020-01-02,2020-12-31
20,2020,price+extended_news+causal_state,54,0.5425603187761243,0.23442245016444074,0.662108283864647,31898,4437,2019-12-02,2020-01-02,2020-12-31
20,2021,price_only,11,0.5548340050688634,0.24672457741930973,0.696800732213582,36435,4032,2020-12-02,2021-01-04,2021-12-31
20,2021,price+legacy_news,14,0.5719435266996671,0.2425171424761923,0.6852779682600764,36435,4032,2020-12-02,2021-01-04,2021-12-31
20,2021,price+extended_news,51,0.5661310153795376,0.24303210595494393,0.6849345826302388,36435,4032,2020-12-02,2021-01-04,2021-12-31
20,2021,price+extended_news+causal_state,54,0.565794189634555,0.24295508612602565,0.6848103431633551,36435,4032,2020-12-02,2021-01-04,2021-12-31
20,2022,price_only,11,0.5169358616019836,0.2977534580326837,0.8000772391210744,40467,4016,2021-12-02,2022-01-03,2022-12-30
20,2022,price+legacy_news,14,0.5126849999236327,0.2970411509575733,0.7976148692869678,40467,4016,2021-12-02,2022-01-03,2022-12-30
20,2022,price+extended_news,51,0.5278501570621986,0.2952026147439563,0.794516163737114,40467,4016,2021-12-02,2022-01-03,2022-12-30
20,2022,price+extended_news+causal_state,54,0.5373186911653149,0.29959627779729736,0.8062632557672841,40467,4016,2021-12-02,2022-01-03,2022-12-30
20,2023,price_only,11,0.5254592793099833,0.24247405689723137,0.6814047800853912,44483,3664,2022-12-01,2023-01-03,2023-11-29
20,2023,price+legacy_news,14,0.5140567651531041,0.2549114402340676,0.7135994604619973,44483,3664,2022-12-01,2023-01-03,2023-11-29
20,2023,price+extended_news,51,0.49718353476300337,0.27235265958097854,0.7480543325948698,44483,3664,2022-12-01,2023-01-03,2023-11-29
20,2023,price+extended_news+causal_state,54,0.49382586383179533,0.27345002481063385,0.7511091536574723,44483,3664,2022-12-01,2023-01-03,2023-11-29
