horizon,candidate,reference,observed_mean_fold_auc_lift,bootstrap_median,ci_2.5,ci_97.5,bootstrap_reps,block_days
5,price+legacy_news,price_only,-0.0026909247989483167,-0.0029779445258557025,-0.005931833348912497,0.0002551871546033531,500,20
5,price+extended_news,price_only,-0.002787685663692986,-0.0038468055947227056,-0.008888167490314,0.0012841798179355477,500,20
5,price+extended_news+causal_state,price_only,-0.0026833669729624285,-0.0034584791301838407,-0.008260100457096624,0.0016950413530527693,500,20
20,price+legacy_news,price_only,-0.001096663998277107,-0.0015642953730608195,-0.005556559095899765,0.002913064911880087,500,20
20,price+extended_news,price_only,0.0019995339706532964,0.00028461180575487584,-0.007033631389550647,0.007418612805731791,500,20
20,price+extended_news+causal_state,price_only,0.003154738032427847,0.0015650519811391786,-0.005472972504713194,0.008783752074601001,500,20
