horizon,feature_set,feature_count,folds,mean_fold_auc,std_fold_auc,pooled_oof_auc,pooled_oof_brier,pooled_oof_log_loss,mean_fold_auc_lift_vs_price,positive_years_vs_price
5,price_only,11,9,0.5216142736645548,0.01918035517501871,0.5104761359352792,0.25532113895202424,0.7065725058488821,0.0,0
5,price+legacy_news,14,9,0.5189233488656065,0.02009332307092943,0.5077601498486568,0.2562135860709282,0.7084665928280923,-0.0026909247989483167,4
5,price+extended_news,51,9,0.5188265880008617,0.02517931580519003,0.5048599692211717,0.2570317870298334,0.7102891734534681,-0.002787685663692986,4
5,price+extended_news+causal_state,54,9,0.5189309066915925,0.02568366622479366,0.5043508168729689,0.2568143589565109,0.7098028618127022,-0.0026833669729624285,5
20,price_only,11,9,0.5208147884190983,0.017965836702845742,0.5000425903971795,0.2644298827764616,0.7372436366096359,0.0,0
20,price+legacy_news,14,9,0.5197181244208213,0.023327940379201818,0.4977337171799252,0.2652215942587177,0.7391301198946952,-0.001096663998277107,4
20,price+extended_news,51,9,0.5228143223897518,0.024712160891172917,0.49600097189905157,0.2659496713826513,0.7384004222420543,0.0019995339706532964,6
20,price+extended_news+causal_state,54,9,0.5239695264515263,0.02579396548961716,0.496351186260057,0.26631705585426835,0.7392189635519075,0.003154738032427847,6
