horizon,candidate,reference,auc_lift,bootstrap_median,ci_2.5,ci_97.5,bootstrap_reps,block_days
5,price+news,price_only,-0.005825520330153822,-0.005201276474826599,-0.015824832829686112,0.006580388146342139,500,20
5,price+risk,price_only,0.00036041672055042717,0.000929089874642075,-0.01019940477039726,0.011613718966660682,500,20
5,price+news+risk,price_only,-0.001209488704182693,-8.410251791235446e-05,-0.01266588324385406,0.011949607729102163,500,20
20,price+news,price_only,0.0008644273228330945,0.0012900941960933832,-0.007401761544651056,0.01101647484238359,500,20
20,price+risk,price_only,-0.007235585041504566,-0.004259889779652248,-0.01979413085725098,0.010431100280229632,500,20
20,price+news+risk,price_only,-0.006036645325479761,-0.0036105141504492178,-0.019440598131774647,0.012208842459833186,500,20
