period,family,config,rmse,r2,rank_ic_mean,rank_ic_median,rank_ic_positive_share,top_bottom_20d_spread,n,n_dates,risk_adjusted_rmse,q10_coverage
validation,price_risk,tiny,0.11341696762499497,-0.005569885702580102,0.03176811820943262,0.05294117647058824,0.5663366336633663,0.014868924108031388,9728,505,1.2468926330351042,0.12520559210526316
validation,price_risk,small,0.11281004237061436,0.005163478357423257,0.07614371875046859,0.07792207792207792,0.6059405940594059,0.03933790771616379,9728,505,1.246044536763966,0.12294407894736842
validation,price_risk,medium,0.11435398774646217,-0.02225401151286932,-0.00658316517189091,0.007792207792207793,0.500990099009901,0.00927712710035016,9728,505,1.2578719794387998,0.18708881578947367
validation,deployable_news,tiny,0.11380937265627274,-0.012540153059560577,0.07935849843277118,0.07012987012987014,0.6118811881188119,0.022460329082091033,9728,505,1.245599393889782,0.17393092105263158
validation,deployable_news,small,0.11449294297302663,-0.024739868698164358,0.0756156413960724,0.07941176470588236,0.598019801980198,0.028765666605423814,9728,505,1.2562389416785562,0.12386924342105263
validation,deployable_news,medium,0.11347806236461849,-0.0066535256260444875,0.08115549569109941,0.08823529411764705,0.6237623762376238,0.01842157905472009,9728,505,1.2413297134993984,0.12417763157894737
validation,research_news,tiny,0.11401042332299624,-0.016120731331646487,0.045115512878134346,0.0411764705882353,0.5603960396039604,0.009060340921260457,9728,505,1.2479725761570661,0.13815789473684212
validation,research_news,small,0.11586558384446688,-0.0494581012810511,-0.009397356365446363,-0.01038961038961039,0.4871287128712871,-0.0008830802007369348,9728,505,1.2645228394912735,0.14617598684210525
validation,research_news,medium,0.11448665564939743,-0.024627325617003093,0.046890319726355656,0.05294117647058824,0.5841584158415841,0.010472641587014482,9728,505,1.2515072515064494,0.09631990131578948
locked_test_reused,price_risk,small,0.0890996796574521,-0.038492051677407435,0.048055287688846024,0.06470588235294117,0.5614754098360656,0.016748729825452915,11712,732,0.9269417960304228,0.1131318306010929
locked_test_reused,deployable_news,medium,0.08983523963897007,-0.05570931361313791,0.005962712954034071,0.02647058823529412,0.5245901639344263,0.004394511950914493,11712,732,0.935349626800663,0.09665300546448087
locked_test_reused,research_news,small,0.0881560461475694,-0.01661168883976183,0.04760928961748633,0.06470588235294117,0.5560109289617486,0.019081252768260615,11712,732,0.9257201611465748,0.10425204918032786
external_reused_price_risk_only,price_risk,small,0.09309030005799193,0.0014739878559451025,0.08175467254414624,0.08562753036437248,0.6517857142857143,0.01538385012937703,21835,560,1.3059580509778868,0.14275246164414931
