feature,gain,gain_share
vol_ratio_5_20,11.723215103149414,0.05037129548962347
downside_vol_20d,11.10213565826416,0.04770269511288536
ret_5d,10.648186683654785,0.045752206468254286
rank_ret_5d,10.089987754821777,0.04335378564778456
price_vs_sma50,10.069432258605957,0.04326546457163671
momentum_acceleration,9.714792251586914,0.04174167809934044
skew_20d,9.587849617004395,0.04119624197959633
mom_60d,9.58086109161377,0.041166214288865535
vol_60d,9.507782936096191,0.04085221839840169
beta_60d,9.361343383789062,0.04022300961090372
trend_strength,9.253702163696289,0.03976050613754341
rank_drawdown,8.765512466430664,0.03766289492086016
strategy_drawdown,8.67936897277832,0.037292761016884876
rank_downside_vol_20d,8.436766624450684,0.03625036825461227
drawdown,7.9502387046813965,0.03415989721957455
vol_5d,7.903287887573242,0.03395816301430531
rank_mom_20d,7.661163806915283,0.03291782523114043
market_ret_20d,7.610746383666992,0.03270119601279718
vol_20d,7.550347805023193,0.03244168063026336
sma50_vs_sma200,7.224271297454834,0.03104062332896572
ret_1d,6.705085277557373,0.02880982979730811
vol_ratio_20_60,6.622619152069092,0.028455496490420423
market_vol_60d,6.494200706481934,0.02790371923374865
rank_momentum_acceleration,6.385482311248779,0.02743658744752256
mom_20d,6.272586822509766,0.026951507887633685
risk_adj_mom,5.755863666534424,0.024731296576406242
market_ret_5d,3.186814308166504,0.013692827758836446
benchmark_ret_1d,3.097365379333496,0.013308491347209288
rsi_scaled,3.0744242668151855,0.013209919961514072
strategy_score,2.720590591430664,0.011689598065161158
ret_10d,0.0,0.0
strategy_sharpe,0.0,0.0
rel_str_20d,0.0,0.0
rank_mom_60d,0.0,0.0
rank_risk_adj_mom,0.0,0.0
rank_rsi_scaled,0.0,0.0
rank_trend_strength,0.0,0.0
rank_vol_20d,0.0,0.0
rank_rel_str_20d,0.0,0.0
market_ret_60d,0.0,0.0
market_vol_20d,0.0,0.0
market_drawdown,0.0,0.0
