model,validation_year,eta,residual_cap,best_iteration,rule_slope,rank_ic_mean,rank_ic_median,rank_ic_positive_share,top_bottom_spread_5d,n_dates
xgb_00,2018,0.05,0.1,7,-0.005374686057614655,0.03741675153552898,0.062337662337662345,0.5697211155378487,0.001855709355240693,251
xgb_00,2018,0.05,0.25,7,-0.005374686057614655,0.03741675153552898,0.062337662337662345,0.5697211155378487,0.001855709355240693,251
xgb_00,2018,0.05,0.5,7,-0.005374686057614655,0.03741675153552898,0.062337662337662345,0.5697211155378487,0.001855709355240693,251
xgb_00,2018,0.1,0.1,7,-0.005374686057614655,0.03735983633917156,0.062337662337662345,0.5697211155378487,0.0018396760687331383,251
xgb_00,2018,0.1,0.25,7,-0.005374686057614655,0.03735983633917156,0.062337662337662345,0.5697211155378487,0.0018396760687331383,251
xgb_00,2018,0.1,0.5,7,-0.005374686057614655,0.03735983633917156,0.062337662337662345,0.5697211155378487,0.0018396760687331383,251
xgb_00,2018,0.25,0.1,7,-0.005374686057614655,0.036682028091642185,0.062337662337662345,0.5697211155378487,0.0017933132436977496,251
xgb_00,2018,0.25,0.25,7,-0.005374686057614655,0.036609590569005465,0.062337662337662345,0.5697211155378487,0.0017933132436977496,251
xgb_00,2018,0.25,0.5,7,-0.005374686057614655,0.036609590569005465,0.062337662337662345,0.5697211155378487,0.0017933132436977496,251
xgb_00,2018,0.5,0.1,7,-0.005374686057614655,0.03653713791985256,0.062337662337662345,0.5697211155378487,0.0018012515677097384,251
xgb_00,2018,0.5,0.25,7,-0.005374686057614655,0.03625773604682518,0.062337662337662345,0.5697211155378487,0.0017749166284787028,251
xgb_00,2018,0.5,0.5,7,-0.005374686057614655,0.03625773604682518,0.062337662337662345,0.5697211155378487,0.0017749166284787028,251
xgb_00,2018,0.75,0.1,7,-0.005374686057614655,0.0360507515277463,0.06493506493506493,0.5737051792828686,0.0017028529693515657,251
xgb_00,2018,0.75,0.25,7,-0.005374686057614655,0.03578687198099823,0.06493506493506493,0.5737051792828686,0.0017025931303853296,251
xgb_00,2018,0.75,0.5,7,-0.005374686057614655,0.03578687198099823,0.06493506493506493,0.5737051792828686,0.0017025931303853296,251
xgb_00,2018,1.0,0.1,7,-0.005374686057614655,0.03626802039683196,0.05844155844155843,0.5697211155378487,0.0017343539228448608,251
xgb_00,2018,1.0,0.25,7,-0.005374686057614655,0.036123145351558514,0.05844155844155843,0.5697211155378487,0.001732962396013718,251
xgb_00,2018,1.0,0.5,7,-0.005374686057614655,0.036123145351558514,0.05844155844155843,0.5697211155378487,0.001732962396013718,251
xgb_00,2019,0.05,0.1,0,0.001401069211017962,-0.0035333941348642726,-0.0038961038961038965,0.49206349206349204,-0.0023656250361926167,252
