group,strategy,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,average_cash_weight,average_gross_exposure,cer_gain_vs_rule,sharpe_gain_vs_rule,drawdown_change_vs_rule
all,rule,0.7922686325145722,0.26764048330476853,0.2073979330718947,0.24981357871109117,0.1575567717198604,1.585546441350458,1.761062431508916,0.17534116976673855,-0.15905423458351764,-0.024463529108669287,0.00870965440859954,2.194832910967084,0.013499964333329287,1.0,0.30205576129395845,0.05000000000000002,0.010066312375535902,620,0.0021770241671205826,0.9978231174689633,,,
all,xgb_residual,0.7079698369891525,0.24305959715395398,0.2073979330718947,0.23538611539869386,0.18750844835318844,1.2553360526738704,1.4778998945157205,0.12990786078723285,-0.1670383647528937,-0.028891625293120487,0.01969962665423235,4.964305916866552,0.030534421314060152,1.0,0.3254283741937118,0.05000000000000002,0.010003070085376965,620,0.030748799465229872,0.9692524180219383,-0.045433308979505704,-0.3302103886765877,-0.007984130169376047
seen,rule,1.1378795590132178,0.3618278706576412,0.2073979330718947,0.32612991834364335,0.18456840990710563,1.7669866609772846,2.183882763565299,0.22393342453673126,-0.1773665280161011,-0.028212662749127995,0.01277524387611467,3.219361456780897,0.01980162800797774,1.0,0.28201043415524896,0.05000000000000002,0.01021581682477013,620,0.08539461512732549,0.9146054843483324,,,
seen,xgb_residual,1.0637653176367334,0.34243785560456996,0.2073979330718947,0.31490312748589533,0.2010736413234121,1.5661084437188706,2.063003300215851,0.19361129978072678,-0.1770013652231721,-0.029206628469723113,0.018466975146875782,4.653677737012697,0.028623811477657465,1.0,0.25471163690771637,0.05000000000000002,0.01010556532816603,620,0.13579392657308384,0.8642062423923911,-0.030322124756004487,-0.20087821725841404,0.0003651627929289747
unseen,rule,0.1896663083447323,0.07314073128885057,0.2073979330718947,0.07497989192540289,0.09352104338805299,0.8017435350275542,0.9638619104204837,0.048741335256232615,-0.1195929983496482,-0.014708792576954715,0.0062546450797364055,1.576170560093574,0.00969469987359143,1.0,0.2429123554481536,0.05000000000000002,0.011814068313519943,620,0.0001276262451331887,0.999872469886771,,,
unseen,xgb_residual,0.22836907792951866,0.08719604898263245,0.2073979330718947,0.08970714666309036,0.11022847303872955,0.8138291694521715,0.9778991977587804,0.05325619785774058,-0.12465356579431253,-0.017404984171371946,0.012265978178812219,3.091026501060679,0.019012266177158937,1.0,0.22463528189301704,0.05000000000000002,0.011016248736646007,620,0.003953578926590832,0.9960465757744754,0.004514862601507963,0.012085634424617298,-0.005060567444664321
