period,group,strategy,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,average_cash_weight,average_gross_exposure,cer_gain_vs_rule,sharpe_gain_vs_rule
diagnostic,all,rule,0.3474055749116327,0.10810622779149814,0.08459199801513972,0.1123638457845035,0.13930438994695238,0.8066066390821715,1.198693783548086,0.054146706609025784,-0.2070520727255517,-0.019828015770126703,0.014843302862074994,3.740512321242899,0.027163244237597237,1.0,0.23804101952987183,0.05000000000000002,0.01018237938570668,732,0.31537885382609,0.68462114617391,0.0,0.0
diagnostic,all,conservative,0.3244295654669771,0.10156451601202465,0.08459199801513972,0.10636611171770072,0.13875474627956444,0.7665763843738593,1.1318640467123076,0.048607472872381804,-0.22073767096474517,-0.01970558880612126,0.01647823125107362,4.152514275270553,0.030155163189464724,1.0,0.25192872002308697,0.05000000000000002,0.01011961281524501,732,0.3568372896664972,0.6431627103335028,-0.0055392337366439795,-0.04003025470831212
diagnostic,all,validation_ceiling,0.32960616057624326,0.10304484766651245,0.08459199801513972,0.10792295256547307,0.14027391667163697,0.7693729178326624,1.1374597554402195,0.04889263747026902,-0.2328821075835088,-0.019844017340614965,0.015795761653232876,3.9805319366146845,0.028906243825416164,1.0,0.2431703331942097,0.05000000000000002,0.01024971606378576,732,0.35781281448160673,0.6421871855183933,-0.005254069138756763,-0.03723372124950908
external,all,rule,0.7922686325145722,0.26764048330476853,0.2073979330718947,0.24981357871109117,0.1575567717198604,1.585546441350458,1.761062431508916,0.17534116976673855,-0.15905423458351764,-0.024463529108669287,0.00870965440859954,2.194832910967084,0.013499964333329287,1.0,0.30205576129395845,0.05000000000000002,0.010066312375535902,620,0.0021770241671205826,0.9978231174689633,0.0,0.0
external,all,conservative,0.7967597296192686,0.26893060783834843,0.2073979330718947,0.25659379490068057,0.19067112705314224,1.345740169822172,1.5845778147173153,0.14752735882553406,-0.16613914547065833,-0.02974432842318073,0.018790146716486072,4.73511697255449,0.02912472741055341,1.0,0.3089723497812798,0.05000000000000002,0.010073491508905612,620,0.04251201416834819,0.9574883221117098,-0.027813810941204498,-0.23980627152828604
external,all,validation_ceiling,0.7961667725683244,0.26876038316991946,0.2073979330718947,0.256457238294809,0.19065915906532965,1.345108409960696,1.583796777133133,0.14740449348831297,-0.16614086474728773,-0.02974414365159997,0.018788494225505614,4.734700544827414,0.0291221660495337,1.0,0.30897263866760283,0.05000000000000002,0.010073491508905612,620,0.04251160193989222,0.9574887322141572,-0.027936676278425582,-0.24043803138976205
external,seen,rule,1.1378795590132178,0.3618278706576412,0.2073979330718947,0.32612991834364335,0.18456840990710563,1.7669866609772846,2.183882763565299,0.22393342453673126,-0.1773665280161011,-0.028212662749127995,0.01277524387611467,3.219361456780897,0.01980162800797774,1.0,0.28201043415524896,0.05000000000000002,0.01021581682477013,620,0.08539461512732549,0.9146054843483324,0.0,0.0
external,seen,conservative,1.184546077077731,0.37383289508106077,0.2073979330718947,0.3380489021501208,0.20091663515500666,1.6825331655057678,2.1481466776802,0.21694641930409062,-0.1753776048543304,-0.029988072216951954,0.016773842104760253,4.227008210399584,0.02599945526237839,1.0,0.26681386526558276,0.05000000000000002,0.010169116884407884,620,0.14577827521553188,0.8542217973442673,-0.006987005232640647,-0.08445349547151682
external,seen,validation_ceiling,1.184686293046195,0.37386873530844156,0.2073979330718947,0.3380737702363414,0.20091046379064167,1.6827086248162288,2.148452442999078,0.21697872685462916,-0.17540991360786495,-0.02998632763232285,0.01677330706780548,4.226873381086981,0.025998625955098498,1.0,0.2668110132581982,0.05000000000000002,0.010115454074998727,620,0.1457765665984943,0.8542235059613048,-0.006954697682102107,-0.08427803616105578
external,unseen,rule,0.1896663083447323,0.07314073128885057,0.2073979330718947,0.07497989192540289,0.09352104338805299,0.8017435350275542,0.9638619104204837,0.048741335256232615,-0.1195929983496482,-0.014708792576954715,0.0062546450797364055,1.576170560093574,0.00969469987359143,1.0,0.2429123554481536,0.05000000000000002,0.011814068313519943,620,0.0001276262451331887,0.999872469886771,0.0,0.0
external,unseen,conservative,0.22836907792951866,0.08719604898263245,0.2073979330718947,0.08970714666309036,0.11022847303872955,0.8138291694521715,0.9778991977587804,0.05325619785774058,-0.12465356579431253,-0.017404984171371946,0.012265978178812219,3.091026501060679,0.019012266177158937,1.0,0.22463528189301704,0.05000000000000002,0.011016248736646007,620,0.003953578926590832,0.9960465757744754,0.004514862601507963,0.012085634424617298
external,unseen,validation_ceiling,0.22836907792951866,0.08719604898263245,0.2073979330718947,0.08970714666309036,0.11022847303872955,0.8138291694521715,0.9778991977587804,0.05325619785774058,-0.12465356579431253,-0.017404984171371946,0.012265978178812219,3.091026501060679,0.019012266177158937,1.0,0.22463528189301704,0.05000000000000002,0.011016248736646007,620,0.003953578926590832,0.9960465757744754,0.004514862601507963,0.012085634424617298
