model,eta,residual_cap,mean_rank_ic,median_rank_ic,positive_ic_years,mean_top_bottom_spread,mean_best_iteration,mean_rule_slope
xgb_25,0.75,0.5,0.02491727148315663,0.036628647047494294,2,-0.001309462238049794,127.33333333333333,-0.0021830907836411016
xgb_18,1.0,0.5,0.024908904932395285,0.0367451102844061,2,-0.0014696783038748032,34.666666666666664,-0.0021830907836411016
xgb_04,1.0,0.25,0.02490244510955771,0.035646429845191625,2,-0.0011664786052740506,211.0,-0.0021830907836411016
xgb_26,1.0,0.25,0.02482246384026641,0.03606666546272231,2,-0.0012666597175366898,244.33333333333334,-0.0021830907836411016
xgb_18,1.0,0.25,0.02481071359226511,0.0367451102844061,2,-0.0015589237980983067,34.666666666666664,-0.0021830907836411016
xgb_10,1.0,0.25,0.024782969270104305,0.036045064798160366,2,-0.001141029936227407,106.66666666666667,-0.0021830907836411016
xgb_03,0.75,0.25,0.024776888450238576,0.036430513024134,2,-0.0013315321528043326,28.666666666666668,-0.0021830907836411016
xgb_24,1.0,0.25,0.024774990102893468,0.03703330620423759,2,-0.001386179189548086,31.0,-0.0021830907836411016
xgb_10,0.75,0.5,0.024685376669536203,0.035848448665289245,2,-0.001268342870481958,106.66666666666667,-0.0021830907836411016
xgb_10,0.75,0.25,0.02464982122275448,0.035848448665289245,2,-0.0012949650620472217,106.66666666666667,-0.0021830907836411016
xgb_02,1.0,0.5,0.024649299062231494,0.03565474816834397,2,-0.0009780575506533988,195.0,-0.0021830907836411016
xgb_25,0.75,0.25,0.02461328216926754,0.036628647047494294,2,-0.0015173735435397124,127.33333333333333,-0.0021830907836411016
xgb_00,1.0,0.5,0.024607373222823165,0.036123145351558514,2,-0.0012483176000942446,34.666666666666664,-0.0021830907836411016
xgb_28,1.0,0.25,0.024603048766758274,0.03625245605245214,2,-0.0014177395038826458,30.333333333333332,-0.0021830907836411016
xgb_22,1.0,0.5,0.02456471277260186,0.03705841025912914,2,-0.001337020978968372,38.333333333333336,-0.0021830907836411016
xgb_17,0.5,0.25,0.024550052466926358,0.03743442189602658,2,-0.0015422821583873083,19.333333333333332,-0.0021830907836411016
xgb_17,0.5,0.5,0.024550052466926358,0.03743442189602658,2,-0.0015422821583873083,19.333333333333332,-0.0021830907836411016
xgb_22,0.75,0.25,0.024542032624896334,0.03705327312629784,2,-0.0015153626086399496,38.333333333333336,-0.0021830907836411016
xgb_30,1.0,0.5,0.024512929810811518,0.037476901231964316,2,-0.0008739115677462609,10.666666666666666,-0.0021830907836411016
xgb_22,1.0,0.25,0.02450284765487458,0.03705841025912914,2,-0.0013280110077153594,38.333333333333336,-0.0021830907836411016
xgb_22,0.75,0.5,0.0245005626009253,0.03705327312629784,2,-0.001488740417074686,38.333333333333336,-0.0021830907836411016
xgb_01,1.0,0.25,0.024500174727888752,0.03695330620097198,2,-0.0009953821501876953,26.666666666666668,-0.0021830907836411016
