period,strategy,year,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days
validation,equal_weight,2018,0.05297527954307424,0.05319185291852713,-0.045867831508921264,0.08145126464111326,0.24335276502477118,0.334704496301171,0.4514179709258219,-0.09621044009449124,-0.24964825525449574,-0.03744846786826939,0.0,0.0,0.0,1.0,0.14647367568556716,0.0,0.0,251
validation,equal_weight,2019,0.5466963644595211,0.5466963644595211,0.3122387490886964,0.4560622546656118,0.19811604452154588,2.3019955590523273,3.214570316101831,0.33831235337502236,-0.11488585545015828,-0.028366614558788264,0.0,0.0,0.0,1.0,0.1648208514597096,0.0,0.0,252
validation,equal_weight,2020,0.2950651022998545,0.29374224761457435,0.18252915820840965,0.3668083479446841,0.455631452904274,0.805054931143546,0.7884257694141926,-0.25599171468229487,-0.29869241730330565,-0.07558980164930075,0.0,0.0,0.0,1.0,0.27330824292709166,0.0,0.0,253
validation,strategy_only,2018,0.09146824185779123,0.09184890363628218,-0.045867831508921264,0.12919965755164467,0.28741794313049895,0.4495184126099705,0.5993198798828182,-0.1186275645484555,-0.2932048464597351,-0.04440684343743411,0.006218392520153391,1.5670349150786547,0.0039020413063962536,1.0,0.22256981503349804,0.04,0.0,251
validation,strategy_only,2019,0.3768787925558543,0.3768787925558543,0.3122387490886964,0.3388977673211475,0.19483871274644912,1.739375930707199,2.394413307777181,0.22501139536706757,-0.0963024403856525,-0.028103515612340778,0.0065110162529635526,1.6407760957468152,0.004101940239367038,1.0,0.24924326677015862,0.04,0.0,252
validation,strategy_only,2020,0.1280626194529686,0.1275254611236123,0.18252915820840965,0.22272951736916172,0.44144425551589744,0.5045473229884191,0.4874557801447171,-0.3618895748147932,-0.2549521472862908,-0.07105650705629087,0.004352134079648966,1.0967377880715394,0.0027527248053779707,1.0,0.34900856473265474,0.04,0.0,253
validation,strategy_risk,2018,0.06768487806193035,0.06796350206114998,-0.045867831508921264,0.10469883115388068,0.2791299026505887,0.3750899855575179,0.5032170745402078,-0.12904167650730064,-0.2830121242213087,-0.04278561403183124,0.0059709446534929244,1.5046780526802168,0.00374676777006681,1.0,0.22772619614548809,0.04000000000000001,0.0,251
validation,strategy_risk,2019,0.41633746547132655,0.41633746547132655,0.3122387490886964,0.36598282476363153,0.18839153520915208,1.9426712795631598,2.6601826380381492,0.25950871314824797,-0.09382391442986737,-0.026858416139472117,0.005090832683120039,1.2828898361462497,0.0032072245903656243,1.0,0.24866283368848688,0.03,0.0,252
validation,strategy_risk,2020,0.13506839996429298,0.13450014256347753,0.18252915820840965,0.24418748972469637,0.4706312506957617,0.5188509886746784,0.5101557330251636,-0.42029383266967446,-0.2660215342046469,-0.07496385038800685,0.002874981974938959,0.7244954576846176,0.001818426099148892,1.0,0.35859607764091744,0.03,0.0,253
validation,fusion_no_news,2018,0.0038326064369436086,0.0038479051252662266,-0.045867831508921264,0.040506158272257176,0.2709837186122443,0.1494781992058283,0.20199438062589745,-0.17979036898650286,-0.2926745442999429,-0.04126273978374802,0.00462846309440019,1.166372699788848,0.0029043605917361192,1.0,0.2113274379644223,0.03396757182117676,0.0,251
