initial_cash_weight,strategy,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days
0.0,equal_weight,0.437364138732389,0.1330375681719589,0.08459199801513972,0.16151381103290677,0.27071498538444866,0.5966193958695609,0.9333086121350573,-0.058345998902199964,-0.3875246155509683,-0.03683071416814079,0.0,0.0,0.0,1.0,0.17292314147686957,0.0,0.0,732
0.0,strategy_only,0.4801441475328674,0.1445354536932304,0.08459199801513972,0.17090159772077995,0.26809736970874976,0.6374609266269214,0.988587407148676,-0.04472700121347023,-0.33370645757981443,-0.03652159482398026,0.005438432554276619,1.3704850036777083,0.009952331574326213,1.0,0.30777006322408124,0.04,0.0,732
0.0,fusion_no_news,0.5147111036338277,0.15366775408599653,0.08459199801513972,0.17817367504348644,0.2654830858537314,0.6711300438237774,1.0355269476848827,-0.03327013157977271,-0.3493677125774709,-0.036608753661941766,0.004152824406339786,1.0465117503976262,0.007599668663601808,1.0,0.30055248520900824,0.030203327356366806,0.0,732
0.0,fusion_full,0.41045767760728613,0.12569059276820682,0.08459199801513972,0.15359125833782664,0.26535785971577935,0.5788080236339554,0.8859765656910417,-0.057653122800991025,-0.3646655289625952,-0.03729701169291112,0.003632195853355186,0.9153133550455069,0.006646918411639991,1.0,0.3009469164017123,0.0302443161756251,0.0,732
0.05,equal_weight,0.4154959317957714,0.1270732692708043,0.08459199801513972,0.15294973199265205,0.258272558351167,0.5922027991246749,0.9261701051987087,-0.04716441119911888,-0.37348220364282125,-0.03511891526879077,0.0,0.0,0.0,1.0,0.16651096002073232,0.0,0.0,732
0.05,strategy_only,0.4921798909288315,0.14773091380409653,0.08459199801513972,0.1734793604384898,0.26729864275895876,0.6490095072982763,1.0081271380041763,-0.04086633282385457,-0.3239589479580476,-0.03637467158095402,0.0055186431812084035,1.3906980816645178,0.010099117021611377,1.0,0.3043697407441178,0.04000000000000001,0.0,732
0.05,fusion_no_news,0.4964579153290658,0.14886264642787883,0.08459199801513972,0.17462602810172842,0.2678271256343452,0.6520102386497592,1.0040078376639514,-0.04056807957493752,-0.3528321629752478,-0.03708715724680746,0.004332397279590281,1.0917641144567507,0.007928287021650212,1.0,0.30005549872204795,0.030000000000000013,0.0,732
0.05,fusion_full,0.4119478777283674,0.12609989362269958,0.08459199801513972,0.1543760600210927,0.26694591027974807,0.578304645534045,0.8877226058360789,-0.0594042970241572,-0.3606250700842808,-0.03740854121385719,0.003600746190305743,0.9073880399570473,0.006589365528259511,1.0,0.31721608617777647,0.03,0.0,732
0.1,equal_weight,0.3936277248591491,0.12104823819237098,0.08459199801513972,0.14443752436977725,0.24574813371505083,0.5877461699760252,0.9189488672775239,-0.036738911303514254,-0.359026910397227,-0.03339605285418357,0.0,0.0,0.0,1.0,0.15992197788511173,0.0,0.0,732
0.1,strategy_only,0.4786917496016385,0.14414869499051464,0.08459199801513972,0.17035565233292477,0.26730755996186933,0.637302036490197,0.9887643255782567,-0.04400434250538032,-0.32693257037794154,-0.03643825194440618,0.005557003169640179,1.400364798749325,0.010169315800441527,1.0,0.2969346939318765,0.04,0.0,732
0.1,fusion_no_news,0.4917996440593253,0.1476302182509046,0.08459199801513972,0.17349731260387552,0.2676311650369014,0.648270213896627,0.9988601079031203,-0.04138200889315191,-0.35344026144144336,-0.03705622438980104,0.004441866574769451,1.1193503768419018,0.008128615831828095,1.0,0.3084524282427388,0.030000000000000002,0.0,732
0.1,fusion_full,0.4367092684434093,0.13285982736912816,0.08459199801513972,0.1584776305571071,0.2597707109992072,0.6100673549667066,0.936066005241874,-0.043964836321993744,-0.33824723364285236,-0.036356313747470094,0.0034149944125996565,0.8605785919751135,0.0062494397750573714,1.0,0.30706479020074307,0.030000000000000006,0.0,732
