period,strategy,transaction_cost_bps,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,average_cash_weight,average_health_score
validation,equal_weight,0.0,1.109185810328165,0.28244361696034814,0.14007748650178153,0.3018180788765327,0.3194541902577497,0.9447929877927493,0.9898933257019293,-0.0043348601431709155,-0.2986924173033052,-0.04961760918165097,0.0,0.0,0.0,1.0,0.27330824292709166,0.0,0.0,756,0.03686741436205769,66.36441654729414
validation,strategy_only,0.0,0.7137362445773998,0.19668907799446944,0.14007748650178153,0.23398493294348874,0.32404445494344225,0.722076645268711,0.761053360353066,-0.081029493395289,-0.29277150675044816,-0.05039802606231034,0.005691379021767864,1.4342275134855018,0.0,1.0,0.34900856473265474,0.04,0.0,756,0.02456995286406077,67.38862786515939
validation,strategy_risk,0.0,0.7316992946614886,0.20085570786700813,0.14007748650178153,0.24139836350822994,0.33396265594425684,0.722830409962133,0.7484750105162044,-0.0931948031877963,-0.28266120255853244,-0.05117075303986324,0.004641491248455728,1.1696557946108435,0.0,1.0,0.35859607764091744,0.04000000000000001,0.0,756,0.025061532732712444,66.39819316868778
validation,fusion_no_news,0.0,0.5873076346138821,0.16650615600924756,0.14007748650178153,0.20405535714372142,0.3114025406254806,0.6552783953973448,0.6950748586304116,-0.0868592697802909,-0.2922667044842666,-0.04821092283955164,0.003861510342360676,0.9731006062748904,0.0,1.0,0.3305026789097798,0.03396757182117676,0.0,756,0.030903973385500175,67.52189366314123
validation,fusion_full,0.0,0.7549346133868104,0.20620274724025078,0.14007748650178153,0.23379810630820824,0.30186879091901125,0.7745024107872557,0.8634810186309486,-0.03957619448450894,-0.2846920818893681,-0.046968437065314214,0.0030688445378056,0.7733488235270111,0.0,1.0,0.2829409267966003,0.03629401247513296,0.0,756,0.025847705325663155,68.44914820230271
validation,fusion_full_no_risk,0.0,0.8783389399744437,0.23383756169668857,0.14007748650178153,0.25558511526134803,0.2992424860352425,0.8541070442492152,0.9585099032021329,-0.013053081084308915,-0.27212398922038916,-0.04684330401181423,0.00332949501278572,0.8390327432220014,0.0,1.0,0.293378871441808,0.04,0.0,756,0.03210333574939348,68.27045462048171
locked_test,equal_weight,0.0,0.4154959317957714,0.1270732692708043,0.08459199801513972,0.15294973199265205,0.258272558351167,0.5922027991246749,0.9261701051987087,-0.04716441119911888,-0.37348220364282125,-0.03511891526879077,0.0,0.0,0.0,1.0,0.16651096002073232,0.0,0.0,732,0.044710185679877494,54.27571259201614
locked_test,strategy_only,0.0,0.5073403441426267,0.151732014859159,0.08459199801513972,0.17695610564265113,0.26728057792475507,0.6620612205218588,1.0282579001091894,-0.0373606163647221,-0.32268642064712927,-0.036356514765629865,0.0055186431812084035,1.3906980816645178,0.0,1.0,0.3043697407441178,0.04000000000000001,0.0,732,0.02528373208453677,55.26724514233909
locked_test,strategy_risk,0.0,0.5082761622324878,0.1519781267689475,0.08459199801513972,0.17604634407444508,0.26296519955441056,0.6694663186336147,1.0264495793380866,-0.03140574445562777,-0.3431224347911572,-0.03628568470739391,0.004903668930639529,1.2357245705211615,0.0,1.0,0.31613121177204595,0.04,0.0,732,0.02496237426741574,55.77329101336908
locked_test,fusion_no_news,0.0,0.5083630291344421,0.15200096691926568,0.08459199801513972,0.17735543838787032,0.26782813723787274,0.6621986779169184,1.0196806215999066,-0.03784029490105606,-0.35164844764260883,-0.0370771714756217,0.004332397279590281,1.0917641144567507,0.0,1.0,0.30005549872204795,0.030000000000000013,0.0,732,0.023655341520305632,56.144045631567174
locked_test,fusion_full,0.0,0.42127202939397357,0.12865447135747354,0.08459199801513972,0.15664453012098534,0.266952142923998,0.5867888094293457,0.9007606183317842,-0.05714580971415864,-0.35947034160958813,-0.03739912983534534,0.003600746190305743,0.9073880399570473,0.0,1.0,0.31721608617777647,0.03,0.0,732,0.024738871299696832,56.25756171674654
locked_test,fusion_full_no_risk,0.0,0.4496075851803074,0.1363508757179992,0.08459199801513972,0.16318425540265946,0.2660015813546756,0.6134709973211635,0.9400096369516345,-0.04908626844690489,-0.3407673092909499,-0.03697734185533024,0.0041519630258043325,1.046294682502692,0.0,1.0,0.2851906835511942,0.030000000000000013,0.0,732,0.02521905033802798,56.15221068990288
validation,equal_weight,10.0,1.109185810328165,0.28244361696034814,0.14007748650178153,0.3018180788765327,0.3194541902577497,0.9447929877927493,0.9898933257019293,-0.0043348601431709155,-0.2986924173033052,-0.04961760918165097,0.0,0.0,0.0,1.0,0.27330824292709166,0.0,0.0,756,0.03686741436205769,66.36441654729414
validation,strategy_only,10.0,0.7063278892567655,0.19496218766736928,0.14007748650178153,0.23255070543000328,0.32407055689204484,0.7175928219467069,0.7567904149660146,-0.08251447210295687,-0.2929448694635416,-0.05040408367782525,0.005691379021767864,1.4342275134855018,0.004302682540456505,1.0,0.34900856473265474,0.04,0.0,756,0.02456995286406077,67.38862786515939
validation,strategy_risk,10.0,0.7255847658380841,0.1994406573384062,0.14007748650178153,0.24022870771361912,0.3339873616571559,0.7192748447775645,0.744777013363501,-0.09441396552650452,-0.2828015889052381,-0.051174899063897675,0.004641491248455728,1.1696557946108435,0.0035089673838325304,1.0,0.35859607764091744,0.04000000000000001,0.0,756,0.025061532732712444,66.39819316868778
validation,fusion_no_news,10.0,0.5826687725360988,0.16536868669799243,0.14007748650178153,0.20308225653744655,0.31141047106566505,0.6521368913591347,0.6917348052774928,-0.08784718793057167,-0.2924298653749886,-0.04821446003689306,0.003861510342360676,0.9731006062748904,0.002919301818824671,1.0,0.3305026789097798,0.03396757182117676,0.0,756,0.030903973385500175,67.52189366314123
validation,fusion_full,10.0,0.7508236120125165,0.20526015216330973,0.14007748650178153,0.23302475748468127,0.3018940211293259,0.7718760266035799,0.8604519869752282,-0.040395242496220285,-0.28490121648922995,-0.046976376852562104,0.0030688445378056,0.7733488235270111,0.0023200464705810334,1.0,0.2829409267966003,0.03629401247513296,0.0,756,0.025847705325663155,68.44914820230271
validation,fusion_full_no_risk,10.0,0.8735838242532992,0.23279550655142045,0.14007748650178153,0.254746082518126,0.29926103347408717,0.851250426962735,0.9551859383044328,-0.013925415949810116,-0.27238729756151203,-0.0468516063359131,0.00332949501278572,0.8390327432220014,0.002517098229666004,1.0,0.293378871441808,0.04,0.0,756,0.03210333574939348,68.27045462048171
locked_test,equal_weight,10.0,0.4154959317957714,0.1270732692708043,0.08459199801513972,0.15294973199265205,0.258272558351167,0.5922027991246749,0.9261701051987087,-0.04716441119911888,-0.37348220364282125,-0.03511891526879077,0.0,0.0,0.0,1.0,0.16651096002073232,0.0,0.0,732,0.044710185679877494,54.27571259201614
locked_test,strategy_only,10.0,0.5012580254436412,0.15012997167433784,0.08459199801513972,0.17556540756098665,0.26728760341783725,0.656840816094767,1.0202081313675369,-0.03876258126156645,-0.3231957042014879,-0.036363777491759536,0.0055186431812084035,1.3906980816645178,0.004039646808644551,1.0,0.3043697407441178,0.04000000000000001,0.0,732,0.02528373208453677,55.26724514233909
locked_test,strategy_risk,10.0,0.5028690055732268,0.15055470710190222,0.08459199801513972,0.174810619503924,0.262969916333882,0.6647552006746437,1.0192639886333235,-0.03264891118602273,-0.34360673926586605,-0.03629189441993056,0.004903668930639529,1.2357245705211615,0.0035894856572281355,1.0,0.31613121177204595,0.04,0.0,732,0.02496237426741574,55.77329101336908
locked_test,fusion_no_news,10.0,0.5035898152501741,0.15074465213094235,0.08459199801513972,0.17626367427341363,0.26782761312084546,0.6581236050290392,1.0134127789596794,-0.03893121677661415,-0.35212218306932397,-0.037081165784096,0.004332397279590281,1.0917641144567507,0.003171314808660085,1.0,0.30005549872204795,0.030000000000000013,0.0,732,0.023655341520305632,56.144045631567174
