period,strategy,transaction_cost_bps,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,average_turnover,average_cash_weight,average_gross_exposure,news_applied_share
diagnostic_2021_2023,strategy_risk_control,0.0,0.3845127526463161,0.11851861397040842,0.08459199801513972,0.12171512658761073,0.13926845752473663,0.8739604699505765,1.2990031165801252,0.06352801680365261,-0.20209159908188123,-0.019792398471112582,0.014843302862074994,3.740512321242899,0.0,1.0,0.23804101952987183,0.05000000000000002,0.01018237938570668,732,0.014843302862074994,0.31537885382609,0.68462114617391,0.0
diagnostic_2021_2023,gated_news,0.0,0.39419570897334144,0.12120550792488372,0.08459199801513972,0.1242393090422557,0.14015486744768452,0.8864430562044547,1.315422363765173,0.06530914843442165,-0.20390917279215548,-0.019862308169439846,0.014582867216575937,3.674882538577136,0.0,1.0,0.25335005195928806,0.05000000000000002,0.010222043493580907,732,0.014582867216575937,0.3163116212469658,0.6836883787530342,0.05891393442622951
diagnostic_2021_2023,same_model_news_unavailable,0.0,0.3845127526463161,0.11851861397040842,0.08459199801513972,0.12171512658761073,0.13926845752473663,0.8739604699505765,1.2990031165801252,0.06352801680365261,-0.20209159908188123,-0.019792398471112582,0.014843302862074994,3.740512321242899,0.0,1.0,0.23804101952987183,0.05000000000000002,0.01018237938570668,732,0.014843302862074994,0.31537885382609,0.68462114617391,0.0
diagnostic_2021_2023,same_model_sentiment_zero,0.0,0.39886874645749026,0.12249783832104066,0.08459199801513972,0.12526983341210238,0.13927729748345188,0.8994275138558473,1.331143685014831,0.06707533662922052,-0.20501863464519354,-0.019797960414186477,0.014569469531007446,3.6715063218138764,0.0,1.0,0.23268040752917032,0.05000000000000002,0.010046791453926299,732,0.014569469531007446,0.31516429159638704,0.684835708403613,0.06147540983606557
diagnostic_2021_2023,strategy_risk_control,25.0,0.3474055749116327,0.10810622779149814,0.08459199801513972,0.1123638457845035,0.13930438994695238,0.8066066390821715,1.198693783548086,0.054146706609025784,-0.2070520727255517,-0.019828015770126703,0.014843302862074994,3.740512321242899,0.027163244237597237,1.0,0.23804101952987183,0.05000000000000002,0.01018237938570668,732,0.014843302862074994,0.31537885382609,0.68462114617391,0.0
diagnostic_2021_2023,gated_news,25.0,0.35747524577260936,0.11095020896290908,0.08459199801513972,0.11505210269581286,0.14019174811129215,0.8206767106183596,1.218018412290622,0.056090923980312894,-0.20876821293700032,-0.019895854439203334,0.014582867216575937,3.674882538577136,0.026686647006333962,1.0,0.25335005195928806,0.05000000000000002,0.010222043493580907,732,0.014582867216575937,0.3163116212469658,0.6836883787530342,0.05891393442622951
diagnostic_2021_2023,same_model_news_unavailable,25.0,0.3474055749116327,0.10810622779149814,0.08459199801513972,0.1123638457845035,0.13930438994695238,0.8066066390821715,1.198693783548086,0.054146706609025784,-0.2070520727255517,-0.019828015770126703,0.014843302862074994,3.740512321242899,0.027163244237597237,1.0,0.23804101952987183,0.05000000000000002,0.01018237938570668,732,0.014843302862074994,0.31537885382609,0.68462114617391,0.0
diagnostic_2021_2023,same_model_sentiment_zero,25.0,0.3620664985800912,0.1122423275582749,0.08459199801513972,0.11609106760756774,0.13930052862107514,0.8333856931968887,1.2334078529899908,0.05787715578523481,-0.20977002154901092,-0.019825754039552165,0.014569469531007446,3.6715063218138764,0.026662129241743632,1.0,0.23268040752917032,0.05000000000000002,0.010046791453926299,732,0.014569469531007446,0.31516429159638704,0.684835708403613,0.06147540983606557
diagnostic_2021_2023,strategy_risk_control,50.0,0.3112831219697274,0.09778794478526098,0.08459199801513972,0.10301256498139622,0.1393563058248377,0.7392027534862804,1.0980369988321173,0.04475202506195913,-0.21198283577937804,-0.019863633069140817,0.014843302862074994,3.740512321242899,0.05432648847519447,1.0,0.23804101952987183,0.05000000000000002,0.01018237938570668,732,0.014843302862074994,0.31537885382609,0.68462114617391,0.0
diagnostic_2021_2023,gated_news,50.0,0.3217123294896753,0.10078595929829826,0.08459199801513972,0.10586489634937003,0.14024406331526112,0.7548618732715369,1.1209375816346554,0.04685970446384512,-0.21359873849666777,-0.01993128859478763,0.014582867216575937,3.674882538577136,0.053373294012667924,1.0,0.25335005195928806,0.05000000000000002,0.010222043493580907,732,0.014582867216575937,0.3163116212469658,0.6836883787530342,0.05891393442622951
diagnostic_2021_2023,same_model_news_unavailable,50.0,0.3112831219697274,0.09778794478526098,0.08459199801513972,0.10301256498139622,0.1393563058248377,0.7392027534862804,1.0980369988321173,0.04475202506195913,-0.21198283577937804,-0.019863633069140817,0.014843302862074994,3.740512321242899,0.05432648847519447,1.0,0.23804101952987183,0.05000000000000002,0.01018237938570668,732,0.014843302862074994,0.31537885382609,0.68462114617391,0.0
diagnostic_2021_2023,same_model_sentiment_zero,50.0,0.32622289007607885,0.10207777520481676,0.08459199801513972,0.106912301803033,0.1393392095365752,0.7672808117586569,1.1350749222142236,0.04866605586020019,-0.2144941048083966,-0.019853547664917853,0.014569469531007446,3.6715063218138764,0.053324258483487263,1.0,0.23268040752917032,0.05000000000000002,0.010046791453926299,732,0.014569469531007446,0.31516429159638704,0.684835708403613,0.06147540983606557
