family,mode,alpha,year,n,qlike,base_qlike,relative_gain,dm_t,dm_p,mean_multiplier,p95_multiplier,share_amplified
legacy+sentiment,amplify_only,1.0,2019,4411,0.5441789693304941,0.5690285559041661,0.04367019249884018,-1.4290125236606344,0.15300063392178442,1.1356402750905283,1.2186259399003587,0.8145545227839492
legacy+sentiment,amplify_only,1.0,2020,4118,1.884438632208345,2.0549804052248644,0.08298948865055378,-1.9335834933982983,0.053164358382330246,1.113293449166055,1.2163187012793615,0.665857212238951
legacy+sentiment,amplify_only,1.0,2021,3780,0.449683807110157,0.4761427923157888,0.05556943344021814,-2.0724575953306754,0.03822278690696934,1.0867143375814696,1.2102663851258286,0.5259259259259259
legacy+sentiment,amplify_only,1.0,2022,3937,0.34782122050713193,0.3917573677340429,0.11215142546275847,-2.6099712547786176,0.009054983105853509,1.1386952518040807,1.2379320624479304,0.745745491490983
legacy+sentiment,amplify_only,1.0,2023,3874,0.42500081311867516,0.4260930833025401,0.0025634543874756633,-0.031314468978008714,0.9750187514913395,1.173568609815285,1.2528371063014043,0.8905524006195147
legacy+source,two_sided,10.0,2019,4411,0.5429520439881557,0.5690285559041661,0.045826367842956156,-1.8285012958733717,0.06747435136671598,1.1050496719509224,1.17892425837993,0.8145545227839492
legacy+source,two_sided,10.0,2020,4118,1.887869971784776,2.0549804052248644,0.0813197211103346,-1.8965807670844943,0.057883290958865574,1.0945685413778707,1.2034117134995048,0.665857212238951
legacy+source,two_sided,10.0,2021,3780,0.44946474757601645,0.4761427923157888,0.056029504531655026,-2.4106762958045915,0.015922973755164715,1.0712278565217563,1.1617399624388034,0.5259259259259259
legacy+source,two_sided,10.0,2022,3937,0.3485803919464867,0.3917573677340429,0.11021356416931072,-3.023496774557059,0.002498716924398403,1.112472219470335,1.1935600953290006,0.745745491490983
legacy+source,two_sided,10.0,2023,3874,0.41855696002293546,0.4260930833025401,0.0176865656236286,-0.40685599755510904,0.6841137557408756,1.1468997741632951,1.2242657389840959,0.8905524006195147
legacy+source,amplify_only,10.0,2019,4411,0.5429520439881557,0.5690285559041661,0.045826367842956156,-1.8285012958733717,0.06747435136671598,1.1050496719509224,1.17892425837993,0.8145545227839492
legacy+source,amplify_only,10.0,2020,4118,1.887869971784776,2.0549804052248644,0.0813197211103346,-1.8965807670844943,0.057883290958865574,1.0945685413778707,1.2034117134995048,0.665857212238951
legacy+source,amplify_only,10.0,2021,3780,0.44946474757601645,0.4761427923157888,0.056029504531655026,-2.4106762958045915,0.015922973755164715,1.0712278565217563,1.1617399624388034,0.5259259259259259
legacy+source,amplify_only,10.0,2022,3937,0.3485803919464867,0.3917573677340429,0.11021356416931072,-3.023496774557059,0.002498716924398403,1.112472219470335,1.1935600953290006,0.745745491490983
legacy+source,amplify_only,10.0,2023,3874,0.41855696002293546,0.4260930833025401,0.0176865656236286,-0.40685599755510904,0.6841137557408756,1.1468997741632951,1.2242657389840959,0.8905524006195147
legacy+events,two_sided,1.0,2019,4411,0.5433764955113246,0.5690285559041661,0.04508044478028225,-1.5188186805236037,0.1288081424520069,1.1304527206761736,1.2298159040389463,0.8145545227839492
legacy+events,two_sided,1.0,2020,4118,1.8939470968556646,2.0549804052248644,0.07836245443497492,-1.9584302754303669,0.05017954512405032,1.1089032538114565,1.2296340351545791,0.665857212238951
legacy+events,two_sided,1.0,2021,3780,0.4498907692120716,0.4761427923157888,0.0551347695006297,-2.0174092833686252,0.04365281928225495,1.0891254411133442,1.2314319794045934,0.5259259259259259
