feature,scaled_coefficient,raw_coefficient
has_news,0.016410279896413502,0.03407900195675053
title_token_novelty,0.014735742786667028,0.038164111157179374
firm_specific_share,0.014273639164923685,0.030367071358343285
mean_story_breadth,0.014166774193197049,0.022664526495044322
max_story_breadth,0.01240455386871632,0.015211872781199932
log_count,0.012095138596865158,0.01624198764939719
event_earnings_share,0.010974131711753975,0.038399600997483484
unique_publisher_count,0.009479087162330358,0.006856567700713273
mean_text_length,0.009284152877591496,3.144774999143126e-05
publisher_missing_share,0.008306251769975926,0.019128799638040893
summary_share,0.008306251769975926,0.019128799638040893
sent_std,0.007659598579948317,0.026921908525232987
publisher_entropy,0.00668737027364629,0.015083740819077972
unique_story_count,0.005130632089894974,0.0016527663569859592
event_corporate_action_share,0.0038689649663820004,0.018586614215887035
event_product_share,0.0037381152285814357,0.019880759134765006
event_macro_share,0.0023689386898055015,0.022547725372062122
event_analyst_share,0.0022801813773947167,0.011792746503204039
event_financing_share,0.002061816329652214,0.021542832164379255
event_legal_regulatory_share,0.0017199080896931956,0.03247620323381477
duplicate_share,-0.0004751815628134662,-0.1202406217527027
broad_story_share,-0.00029954297679452176,-0.003348607910216516
event_management_share,-0.00013682403304307293,-0.001120463151867446
