split,family,mode,alpha,gain_2019,gain_2020,min_validation_year_gain,qlike,base_qlike,relative_gain,dm_t,dm_p,mean_multiplier,p95_multiplier,share_amplified
VAL,legacy+events,two_sided,1.0,0.04508044478028225,0.08056983633899997,0.04508044478028225,1.2249187052234687,1.3204636059762611,0.07235708755649727,-2.255963075445838,0.024072943700983673,1.121890530500659,1.2301823859412884,0.754200146092038
TEST_CONFIRMATION,legacy+events,two_sided,1.0,,,,0.4072145488447074,0.4307525766919721,0.054643962963677246,-2.3357723783932496,0.01950310793837784,1.1377671067844226,1.2578215067071126,0.7224570787680097
VAL,legacy+events,amplify_only,1.0,0.04508044478028225,0.08056983633899997,0.04508044478028225,1.2249187052234687,1.3204636059762611,0.07235708755649727,-2.255963075445838,0.024072943700983673,1.121890530500659,1.2301823859412884,0.754200146092038
TEST_CONFIRMATION,legacy+events,amplify_only,1.0,,,,0.4072145488447074,0.4307525766919721,0.054643962963677246,-2.3357723783932496,0.01950310793837784,1.1377671067844226,1.2578215067071126,0.7224570787680097
VAL,legacy+source+events,two_sided,10.0,0.04634296170350234,0.0831629797604841,0.04634296170350234,1.2219011585920052,1.3204636059762611,0.07464230512539233,-2.195938971315039,0.028096311849431954,1.1026153840023503,1.1942853305192673,0.754200146092038
TEST_CONFIRMATION,legacy+source+events,two_sided,10.0,,,,0.4047505748477015,0.4307525766919721,0.060364123748154454,-2.999258542415241,0.0027063754326690503,1.1136550129011327,1.2112254951151558,0.7224570787680097
VAL,legacy+source+events,amplify_only,10.0,0.04634296170350234,0.0831629797604841,0.04634296170350234,1.2219011585920052,1.3204636059762611,0.07464230512539233,-2.195938971315039,0.028096311849431954,1.1026153840023503,1.1942853305192673,0.754200146092038
TEST_CONFIRMATION,legacy+source+events,amplify_only,10.0,,,,0.4047505748477015,0.4307525766919721,0.060364123748154454,-2.999258542415241,0.0027063754326690503,1.1136550129011327,1.2112254951151558,0.7224570787680097
VAL,legacy+expanded,two_sided,10.0,0.04626760829998157,0.0850933555956342,0.04626760829998157,1.2199650662925128,1.3204636059762611,0.07610852675447011,-2.173593245322785,0.02973569615049554,1.1075659385879149,1.2026885505023643,0.754200146092038
TEST_CONFIRMATION,legacy+expanded,two_sided,10.0,,,,0.40480695990213394,0.4307525766919721,0.06023322481107678,-2.9103672730610053,0.003610042612224751,1.1181279618403528,1.2155348714660748,0.7224570787680097
VAL,legacy+expanded,amplify_only,10.0,0.04626760829998157,0.0850933555956342,0.04626760829998157,1.2199650662925128,1.3204636059762611,0.07610852675447011,-2.173593245322785,0.02973569615049554,1.1075659385879149,1.2026885505023643,0.754200146092038
TEST_CONFIRMATION,legacy+expanded,amplify_only,10.0,,,,0.40480695990213394,0.4307525766919721,0.06023322481107678,-2.9103672730610053,0.003610042612224751,1.1181279618403528,1.2155348714660748,0.7224570787680097
VAL,attention,two_sided,0.1,0.04203789493297993,0.3333255608220532,0.04203789493297993,0.9693292755861391,1.3204636059762611,0.2659174617164228,-1.4825459929886233,0.13819507520447782,1.193590658554076,1.4935764733679942,0.9980521061602142
TEST_CONFIRMATION,attention,two_sided,0.1,,,,0.41734442827460666,0.4307525766919721,0.031127262244918606,-0.8345406118056564,0.4039764121116365,1.225795619883072,1.4935764733679942,0.9845569838667932
VAL,attention,amplify_only,0.1,0.041898624289916295,0.33330953650958,0.041898624289916295,0.9693880959836566,1.3204636059762611,0.26587291645425026,-1.4823175876157204,0.13825581072115,1.1936615017697516,1.4935764733679942,0.9980521061602142
TEST_CONFIRMATION,attention,amplify_only,0.1,,,,0.4171637334242739,0.4307525766919721,0.03154674865106029,-0.8428589739302123,0.39930732068974395,1.2269435463338487,1.4935764733679942,0.9845569838667932
VAL,attention+sentiment,two_sided,0.1,0.04218396582760871,0.3341426596016762,0.04218396582760871,0.968455375070226,1.3204636059762611,0.26657927512192514,-1.4839347404354706,0.13782623435323416,1.1928360636840287,1.4895924038212083,0.9964694424153884
TEST_CONFIRMATION,attention+sentiment,two_sided,0.1,,,,0.4175845183927543,0.4307525766919721,0.030569888636172174,-0.8215183453316495,0.411351078866109,1.223876899924391,1.4895924038212083,0.9779138987145198
VAL,attention+sentiment,amplify_only,0.1,0.041935206332029434,0.33413883998959404,0.041935206332029434,0.9685352659926295,1.3204636059762611,0.26651877294523363,-1.483622227471607,0.13790916919911989,1.1929633807880136,1.4895924038212083,0.9964694424153884
TEST_CONFIRMATION,attention+sentiment,amplify_only,0.1,,,,0.41713633548707274,0.4307525766919721,0.03161035346431884,-0.8454137917499569,0.3978798468014697,1.2255854214765898,1.4895924038212083,0.9779138987145198
VAL,attention+source,two_sided,10.0,0.04380365827857849,0.12465876443851237,0.04380365827857849,1.1805634638004747,1.3204636059762611,0.1059477455816389,-2.4191682499791387,0.015556043129222097,1.1107776401006286,1.2009264423997776,1.0
TEST_CONFIRMATION,attention+source,two_sided,10.0,,,,0.40282755831601236,0.4307525766919721,0.06482844186426934,-2.790389051299474,0.00526447398541241,1.1320440561928649,1.2748939238021417,1.0
VAL,attention+source,amplify_only,10.0,0.04380365827857849,0.12465876443851237,0.04380365827857849,1.1805634638004747,1.3204636059762611,0.1059477455816389,-2.4191682499791387,0.015556043129222097,1.1107776401006286,1.2009264423997776,1.0
TEST_CONFIRMATION,attention+source,amplify_only,10.0,,,,0.40282755831601236,0.4307525766919721,0.06482844186426934,-2.790389051299474,0.00526447398541241,1.1320440561928649,1.2748939238021417,1.0
VAL,attention+events,two_sided,0.1,0.043493609292635904,0.32854417262653546,0.043493609292635904,0.9737370282139428,1.3204636059762611,0.2625794275533798,-1.4660437081519788,0.1426363797782657,1.1907994109074862,1.4945148864832003,0.9956172388604821
TEST_CONFIRMATION,attention+events,two_sided,0.1,,,,0.4184810690713331,0.4307525766919721,0.028488529807250026,-0.7599217508462038,0.4473013592916497,1.2275213625568622,1.4945148864832003,0.9738590285566388
VAL,attention+events,amplify_only,0.1,0.043236916356153815,0.32858359829719946,0.043236916356153815,0.9737754542024236,1.3204636059762611,0.26255032717658267,-1.4658808513024137,0.1426807495107978,1.1909666300657051,1.4945148864832003,0.9956172388604821
TEST_CONFIRMATION,attention+events,amplify_only,0.1,,,,0.41808002571231284,0.4307525766919721,0.02941955931402656,-0.7815186670382981,0.4344975020507087,1.229272854386308,1.4945148864832003,0.9738590285566388
VAL,expanded_all,two_sided,10.0,0.04497604556152399,0.1270870189102713,0.04497604556152399,1.1777408025237952,1.3204636059762611,0.10808537456581119,-2.413736671382711,0.015789869406974466,1.1169510286752946,1.2082239490554945,1.0
TEST_CONFIRMATION,expanded_all,two_sided,10.0,,,,0.40217834152361553,0.4307525766919721,0.06633561054421683,-2.7487462026487206,0.005982368790161674,1.1384522391407295,1.266764613275891,1.0
VAL,expanded_all,amplify_only,10.0,0.04497604556152399,0.1270870189102713,0.04497604556152399,1.1777408025237952,1.3204636059762611,0.10808537456581119,-2.413736671382711,0.015789869406974466,1.1169510286752946,1.2082239490554945,1.0
TEST_CONFIRMATION,expanded_all,amplify_only,10.0,,,,0.40217834152361553,0.4307525766919721,0.06633561054421683,-2.7487462026487206,0.005982368790161674,1.1384522391407295,1.266764613275891,1.0
