model,qlike,gain_vs_har_x,log_rmse,r2_log,realized_to_forecast,high_vol_qlike,positive_symbol_share_vs_har_x,dm_t_vs_har_x,dm_p_vs_har_x,rows,symbols
XGBoost Gamma,0.6571401987602066,0.10312313032909012,0.5684738280743589,0.29080649409458237,0.8924822097864038,1.353879642340831,0.9523809523809523,-3.2889999817657434,0.0010054403017212277,27027,21
HAR-X + News,0.6942732623397467,0.052443251229711586,0.5400449821015865,0.35996507886535434,0.981090011393066,1.6807678386216802,0.8571428571428571,-3.266628154299309,0.0010883653402247173,27027,21
Residual MLP,0.6987204961326648,0.04637358583652423,0.5566858905506857,0.3199133838679128,0.9167517335911877,1.565427501757671,0.8095238095238095,-0.10658361100148246,0.9151193210388349,27027,21
HAR-X,0.732698345762145,0.0,0.519216741230045,0.40838227892061496,1.0568940285706194,1.998601452385876,0.0,0.0,1.0,27027,21
