symbol,total_return,cagr,sharpe,max_drawdown,vol_ann,rsi_now
NVDA,153.6661994028689,0.6558824066234434,1.221994851820888,-0.6633509626581453,0.49916620945928103,52.25746898991678
AVGO,30.57680535697075,0.4125324057070556,1.0212626090151007,-0.4829998392254532,0.3968900790161889,49.95577365454754
TSLA,24.57227674267121,0.38304011590262066,0.8102774364294433,-0.736322174421912,0.592639613304869,43.2727188596597
AAPL,13.59222596692205,0.30755504931272615,1.001812126999312,-0.38515907668255545,0.2908328378879228,64.54616479605544
GOOGL,8.225273131713994,0.24892847987941202,0.8398779496194588,-0.4432005339904723,0.2927934937818308,43.115275332957694
NFLX,6.99511004562514,0.23117428725009703,0.6667785040784013,-0.759473182516135,0.4138401368687311,32.53537472210553
MSFT,6.95259247688688,0.23051771364262508,0.8287639314517068,-0.37148481426837276,0.2715294730111717,53.42651034634428
AMZN,5.646886739760785,0.20863627548649322,0.684534897922158,-0.5614526325328263,0.32608909425939064,51.31374888598177
COST,5.575374059445902,0.20732904966575738,0.8783236980975585,-0.3140243346400433,0.2201744570913908,43.58731886534036
META,4.367467998910038,0.18306043001353034,0.5783330726420433,-0.7673609046952303,0.3899537349846979,56.195924037311094
