Date,portfolio,ema20,ema50,rsi,macd,macd_signal,macd_hist
2016-07-22,1.0,1.0,1.0,100.0,0.0,0.0,0.0
2016-07-25,1.0062869774486045,1.0005987597570098,1.0002465481352394,100.0,0.000501525266555447,0.00010030505331108941,0.00040122021324435765
2016-07-26,1.0126470447171414,1.0017462154674985,1.0007328421188433,100.0,0.0013960985735512743,0.00035946375735912645,0.001036634816192148
2016-07-27,1.0204516547399158,1.0035276858743953,1.0015061288882972,100.0,0.0027036551141990106,0.0008283020287271033,0.0018753530854719073
2016-07-28,1.0259402512104592,1.0056622159064013,1.0024643297636762,100.0,0.004135119870314341,0.0014896655970445508,0.0026454542732697903
2016-07-29,1.0322843552764975,1.0081976577511724,1.0036337425288848,100.0,0.005715596344102236,0.0023348517464560877,0.0033807445976461485
2016-08-01,1.0386442808595349,1.0110973361424451,1.0050067048163613,100.0,0.0073960708775504536,0.003347095572674961,0.004048975304875493
2016-08-02,1.0305376901118672,1.0129487984252472,1.006007919925989,91.04183050128127,0.007981716667446292,0.004274019791629228,0.0037076968758170646
2016-08-03,1.0307614047289957,1.0146452371208423,1.0069786448202245,91.06561667864001,0.008367442407705816,0.005092704314844546,0.00327473809286127
2016-08-04,1.0408968509113825,1.0171453908151795,1.0083087705492895,92.09031862420215,0.009382819336615666,0.005950727319198771,0.0034320920174168955
2016-08-05,1.0543227672211708,1.020686093330036,1.0101132410070104,93.2024831075288,0.011142429122307451,0.006989067679820507,0.004153361442486944
2016-08-08,1.0511607947949448,1.0235884458505033,1.011722948998694,89.99312491279518,0.012141824411884938,0.008019619026233394,0.004122205385651544
2016-08-09,1.0546442670999743,1.0265461431123577,1.0134061379438424,90.38589511385112,0.01306434188062311,0.009028563597111338,0.004035778283511772
2016-08-10,1.05219377560188,1.0289887747780266,1.0149272217735694,87.7758931681145,0.013442749784992936,0.009911400834687657,0.003531348950305279
2016-08-11,1.0568605421081068,1.0316432288094628,1.016571665708257,88.45936025806397,0.013958307154611438,0.010720782098672414,0.003237525055939024
2016-08-12,1.0644430865155003,1.0347670247814664,1.018448976328149,89.48779742993807,0.014808040178639015,0.011538233714665735,0.00326980646397328
2016-08-15,1.0646912324104254,1.0376169493175578,1.0202623981352972,89.52070960411642,0.015324827944881214,0.012295552560708831,0.003029275384172383
2016-08-16,1.0583464713905568,1.039591189514986,1.021755891204131,82.41568507458638,0.015048941948814898,0.012846230438330046,0.002202711510484852
2016-08-17,1.0588398713560079,1.041424397309369,1.0232101649355771,82.53179221903447,0.014700653579353684,0.013217115066534774,0.0014835385128189101
2016-08-18,1.0599722413513581,1.0431908586467014,1.024651814991098,82.81228745827917,0.014350580770095878,0.013443808207246995,0.0009067725628488822
2016-08-19,1.06002110789158,1.044793739527166,1.0260388460852345,82.8251042455786,0.013916666005138634,0.013538379766825323,0.0003782862383133103
2016-08-22,1.0590895960386728,1.046155249671119,1.027334953926546,81.57632206420104,0.013343801172474246,0.01349946404795511,-0.000155662875480864
2016-08-23,1.0633828794789446,1.0477959763194833,1.0287485980658557,82.85907994295832,0.013085393487730634,0.013416649935910215,-0.0003312564481795805
2016-08-24,1.0561849984937297,1.0485949308122686,1.029824535337537,73.60609379670385,0.012159626095020082,0.013165245167732188,-0.0010056190727121064
2016-08-25,1.0560813437960035,1.0493079225250053,1.030854214100614,73.47883930980356,0.011287469773333836,0.012789690088852518,-0.0015022203155186827
2016-08-26,1.0584903185488341,1.0501824364320367,1.031937982902505,74.57881495064312,0.0106676932078702,0.012365290712656055,-0.0016975975047858558
2016-08-29,1.0579986946905873,1.05092684198047,1.032959971600077,73.90513973652988,0.010021326266659747,0.011896497823456793,-0.001875171556797046
2016-08-30,1.0513005335349266,1.0509624316523232,1.0336792093230123,65.25617670014869,0.008866384026608332,0.011290475064087101,-0.00242409103747877
2016-08-31,1.0503728495450553,1.0509062809754406,1.0343338618807394,64.13667440464917,0.007786470055562766,0.010589674062382235,-0.0028032040068194687
2016-09-01,1.0457250972100949,1.0504128349025506,1.0347805769916945,58.70302693571491,0.0064808880394982005,0.009767916857805429,-0.0032870288183072284
2016-09-02,1.0443524629725762,1.0498356566235054,1.0351559450693761,57.16276431353017,0.005274641984722717,0.008869261883188886,-0.00359461989846617
2016-09-06,1.0559541232329666,1.0504183677291683,1.0359715598993209,65.42114485219021,0.005194956099505488,0.008134400726452207,-0.0029394446269467196
2016-09-07,1.0510706224351816,1.050480487224979,1.0365636799987663,60.16337639094471,0.0046837553440333135,0.0074442716499684295,-0.002760516305935116
2016-09-08,1.0437902682818536,1.04984332351611,1.036847075617711,53.28768890642292,0.003649096810061092,0.006685236681986962,-0.0030361398719258702
2016-09-09,1.0149851649839714,1.0465234988940015,1.035989745788937,35.836875361958406,0.0004990387575731781,0.005447997097104206,-0.004948958339531028
2016-09-12,1.032672863023325,1.045204390715842,1.0358596719549915,47.25849889186664,-0.0005636580354824172,0.004245666070586881,-0.0048093241060692985
2016-09-13,1.0243705064559974,1.0432202112625235,1.035409116445227,43.35712509463137,-0.002052128035008094,0.0029861072494678865,-0.00503823528447598
2016-09-14,1.032944598934656,1.0422415815170123,1.0353124686997144,48.12040077902378,-0.0025109489704131516,0.001886696005491679,-0.00439764497590483
2016-09-15,1.0511525568387565,1.0430902458333688,1.0359336486267356,56.488426066044504,-0.0013893225887604554,0.0012314922866412522,-0.0026208148754017077
2016-09-16,1.0560927750684248,1.0443285819509933,1.036724202604841,58.446820680962155,-0.00010063126186499183,0.0009650675769400035,-0.0010656988388049954
2016-09-19,1.0527900341522616,1.0451344345415903,1.037354235214544,56.61231367935802,0.0006467074683091933,0.0009013955552138415,-0.0002546880869046482
2016-09-20,1.0509267389367953,1.045686082579229,1.0378864902624754,55.552920380318525,0.0010762204452081647,0.0009363605332127062,0.00013985991199545853
2016-09-21,1.0567068990558415,1.04673568414843,1.0386245455092742,58.16807318512115,0.0018615642349508743,0.00112140127356034,0.0007401629613905344
2016-09-22,1.062998499818888,1.0482845237360927,1.0395803868547493,60.86706885795034,0.002957541746645198,0.0014886293681773115,0.0014689123784678865
2016-09-23,1.0575111110508686,1.0491632463375,1.040283552509499,57.38919588374865,0.0033447689922998514,0.0018598572930018198,0.0014849116992980316
2016-09-26,1.0510623217409374,1.049344110661637,1.0407062493421044,53.51897080853495,0.003095601801154091,0.002107006194632274,0.0009885956065218168
2016-09-27,1.0645235716908514,1.0507897736168004,1.0416402619832317,59.637854644174936,0.003938939732287761,0.0024733929021633714,0.0014655468301243892
2016-09-28,1.0677196157356408,1.0524021395328804,1.0426629817382282,60.95218711375815,0.004809741457036054,0.0029406626131379078,0.0018690788438981464
2016-09-29,1.0599742439736446,1.0531232923367628,1.043341854767068,56.1778781326939,0.004819317238066834,0.003316393538123693,0.0015029236999431405
2016-09-30,1.071784290656067,1.0549005302719348,1.044457244409774,61.17201164719226,0.005714010622508425,0.0037959169550006396,0.0019180936675077856
2016-10-03,1.0776324041315253,1.0570654706395148,1.045758231065529,63.39653903804143,0.00681638046736377,0.004400009657473266,0.0024163708098905038
2016-10-04,1.0745244479409557,1.0587282303825092,1.0468863180018202,61.383786771655295,0.0073544528665938635,0.004990898299297385,0.0023635545672964784
2016-10-05,1.081665701404119,1.0609127514321863,1.0482502153901456,64.19655431617161,0.008261880773404506,0.00564509479411881,0.0026167859792856967
2016-10-06,1.0763498091790968,1.0623829474080826,1.0493521602446143,60.65482076781004,0.008454616297560058,0.006206999094807059,0.0022476172027529988
2016-10-07,1.0732251802610915,1.063415541013131,1.0502883571080055,58.60805365803929,0.008260012862370436,0.006617601848319735,0.0016424110140507014
2016-10-10,1.0804762794981129,1.065040373249796,1.0514721972017353,61.82724434463717,0.008591849849578503,0.007012451448571488,0.001579398401007015
2016-10-11,1.0694283242652152,1.0654582733465026,1.052176359047362,54.83021717059726,0.007872604908161884,0.007184482140489569,0.0006881227676723157
2016-10-12,1.0703173841765667,1.0659210458065087,1.052887771797527,55.26892642660006,0.007290299777095166,0.007205645667810689,8.465410928447728e-05
2016-10-13,1.0642209151797775,1.065759128603963,1.0533322087929093,51.57014099296721,0.006264669457830552,0.007017450425814662,-0.0007527809679841102
2016-10-14,1.0661061339376632,1.0657921767309821,1.0538331470338802,52.62595315703934,0.005540108516496334,0.006721982043950997,-0.0011818735274546632
2016-10-17,1.0588389413163852,1.0651299638343539,1.0540294526920175,48.25842048620238,0.004329578356015995,0.006243501306363997,-0.0019139229503480019
2016-10-18,1.0898930873039852,1.0674883565457474,1.055435869735624,62.5582278190204,0.005809071176804181,0.006156615280452035,-0.0003475441036478533
2016-10-19,1.0964401394346701,1.0702456692018352,1.0570438803120574,64.76891558015923,0.007424289697227859,0.0064101501638071995,0.00101413953342066
2016-10-20,1.0965013265768164,1.0727462079994525,1.0585912311459698,64.7898392602689,0.008610048028588668,0.006850129736763494,0.0017599182918251743
2016-10-21,1.106764775492834,1.0759860715702507,1.0604803897478077,68.20129210940391,0.010259677426475822,0.00753203927470596,0.0027276381517698615
2016-10-24,1.1265986055751989,1.0808063129040553,1.063073260956725,73.53716710147395,0.013017388586074707,0.00862910913697971,0.0043882794490949974
2016-10-25,1.123159274991958,1.0848399283409984,1.0654295752326166,71.30279877184256,0.014755279635119578,0.009854343236607685,0.0049009363985118935
2016-10-26,1.1167193658099568,1.0878760652428041,1.067440939568983,67.18637939130478,0.015434998902500663,0.01097047436978628,0.004464524532714382
2016-10-27,1.109968758096724,1.0899801312288917,1.0691086971583061,63.07561716120647,0.015253135047655464,0.011827006505360118,0.0034261285422953463
2016-10-28,1.0998040160271934,1.0909157393049205,1.0703124351531645,57.38239698003896,0.014125961605433446,0.012286797525374784,0.0018391640800586619
2016-10-31,1.0975288131395453,1.0915455558605989,1.0713797440938069,56.160496429664335,0.012900371223989238,0.012409512265097674,0.0004908589588915636
2016-11-01,1.0825287016126504,1.0906868078369847,1.071816958114154,48.784833765856604,0.010596547968871883,0.012046919405852516,-0.0014503714369806329
2016-11-02,1.0745661187125608,1.089151504110849,1.0719247683336992,45.377936683339506,0.008035608059369537,0.011244657136555921,-0.0032090490771863843
2016-11-03,1.0634771971195083,1.0867063320164356,1.071593491031182,41.07583550521483,0.005053013438412135,0.010006328396927165,-0.00495331495851503
2016-11-04,1.059420454270704,1.0841076769930327,1.071116117040575,39.59683212184949,0.0023350237680890285,0.008472067471159538,-0.00613704370307051
2016-11-07,1.085697899884929,1.084259126792261,1.0716879516619222,51.72277259269114,0.0022751412119266234,0.007232682219312956,-0.004957541007386332
2016-11-08,1.0925524658408465,1.085048968606412,1.072506167904233,54.30000377395209,0.0027491001263806325,0.006335965800726491,-0.0035868656743458585
2016-11-09,1.0797049329226596,1.084540012827007,1.0727884724147596,49.01808344179544,0.002064232261024923,0.005481619092786178,-0.003417386831761255
2016-11-10,1.0489389388462471,1.0811494343526489,1.0718531965885436,39.187569718450206,-0.0009501364744637364,0.004195267979336195,-0.005145404453799932
2016-11-11,1.0811163368155918,1.0811462822062625,1.0722164569896042,50.39297823932839,-0.0007341356574264157,0.0032093872519836733,-0.0039435229094100886
2016-11-14,1.0564319481093805,1.0787925361017976,1.07159745664136,43.735289615053354,-0.0025256630547454417,0.0020623771906378503,-0.004588040245383292
2016-11-15,1.0743903001709496,1.0783732755369548,1.0717069799170302,49.01295756437197,-0.0024679238077931487,0.0011563169909516505,-0.0036242407987447994
2016-11-16,1.0890345919364903,1.0793886390035772,1.0723864941138719,52.89334274313958,-0.0012263564072854116,0.0006797823113042381,-0.0019061387185896497
2016-11-17,1.0968356054325252,1.0810502548539531,1.0733452827930348,54.86397533834115,0.000382660227067122,0.000620357894456815,-0.00023769766738969303
2016-11-18,1.0941603414319798,1.0822988345280509,1.0741615596024052,54.02923293361307,0.0014255136217204978,0.0007813890399095515,0.0006441245818109463
2016-11-21,1.1106232737597357,1.0849964001691637,1.0755914307458299,58.2399093432945,0.003539601183601082,0.0013330314686478576,0.0022065697149532245
2016-11-22,1.1205185594022538,1.0883794629532675,1.0773532789284348,60.57725429288142,0.005944967772698373,0.002255418729457961,0.003689549043240412
2016-11-23,1.117072669462759,1.0911121492875049,1.0789109020866436,59.33185938049585,0.0074868795180123016,0.003301710887168829,0.0041851686308434725
2016-11-25,1.1196508025059573,1.0938301162606907,1.0805085452403422,59.994541662809276,0.008815272501199845,0.004404423209975032,0.004410849291224812
2016-11-28,1.115839315235579,1.0959262304487754,1.0818940656323122,58.47744496338508,0.009451527022001027,0.005413843972380232,0.0040376830496207956
2016-11-29,1.1134270208940664,1.0975929723959459,1.0831306521131654,57.48663824254029,0.009649873584878454,0.006261049894879876,0.0033888236899985782
2016-11-30,1.0990693981418074,1.0977335843717422,1.0837557009770338,51.85507758077345,0.00854996581675449,0.006718833079254799,0.0018311327374996907
2016-12-01,1.0770177622499475,1.0957606489315712,1.0834914680857755,44.62442570610607,0.005831674351018945,0.006541401333607629,-0.000709726982588684
2016-12-02,1.0825773554053593,1.0945050971671701,1.0834556205296808,46.64443231904233,0.004079001296517948,0.006048921326189694,-0.001969920029671746
2016-12-05,1.0971362634215829,1.0947556844294952,1.0839921163293633,51.62133243582038,0.003820734428371164,0.005603283946625988,-0.001782549518254824
2016-12-06,1.1026357033666112,1.0955061624235063,1.0847232373896476,53.38994670428875,0.004013549220413859,0.005285337001383563,-0.0012717877809697038
2016-12-07,1.1215765875364512,1.0979890600533107,1.0861684668071692,58.95541325128977,0.005629830210971187,0.005354235643301088,0.00027559456767009896
2016-12-08,1.1228727328713315,1.1003589336550268,1.0876078497900774,59.31343641335478,0.006935385826173146,0.0056704656798755,0.001264920146297646
2016-12-09,1.134039817819452,1.1035666369087815,1.0894287112814256,62.359775505944334,0.008770042890057006,0.006290381121911801,0.0024796617681452048
2016-12-12,1.1276775515497903,1.1058629144936396,1.0909286658017536,59.62083866075865,0.009599977549479721,0.006952300407425385,0.0026476771420543364
2016-12-13,1.1432374453392669,1.1094223936217946,1.0929799904894992,63.807566506395546,0.01138205489206845,0.007838251304353998,0.0035438035877144516
2016-12-14,1.147688146148666,1.113066751005306,1.095125408358486,64.92774587938084,0.013003600967016471,0.008871321236886493,0.004132279730129978
2016-12-15,1.1528459822213883,1.1168552492163615,1.0973889602746785,66.2321061962603,0.014537305174363802,0.010004518024381955,0.004532787149981846
2016-12-16,1.1538283337195545,1.1203764953595226,1.0996022690372227,66.48774198203571,0.015651622206476645,0.011133938860800894,0.004517683345675752
2016-12-19,1.1641596748775864,1.1245463219802905,1.1021339320113548,69.13422626319618,0.017170449122231757,0.012341240913087066,0.004829208209144691
2016-12-20,1.1739086678774273,1.1292474977800178,1.1049486275355145,71.42723464115029,0.01894243604342627,0.013661479939154907,0.005280956104271362
2016-12-21,1.1744164135552513,1.1335492992824208,1.1076728544382493,71.5457967900156,0.020155380596514227,0.014960260070626771,0.005195120525887456
2016-12-22,1.1702335911629558,1.1370430413662813,1.1101262166627477,69.00549488094742,0.02054232989203819,0.016076674034909054,0.004465655857129137
2016-12-23,1.1751621098045115,1.140673428836589,1.1126766438447777,70.34171765039295,0.02100455285119618,0.01706224979816648,0.0039423030530297
2016-12-27,1.1929851747751028,1.1456554998783521,1.115825997998908,74.60541148535759,0.022549108183219646,0.018159621475177114,0.004389486708042532
2016-12-28,1.1776199229844169,1.1486997306503584,1.1182492891748104,65.82039688833979,0.02227654189670769,0.01898300555948323,0.00329353633722446
2016-12-29,1.1745282705378193,1.1511595915920212,1.1204563080517913,64.18272837131775,0.021562501540917767,0.01949890475577014,0.0020635967851476283
2016-12-30,1.157323168285085,1.1517465988961224,1.1219020672766264,55.854127486272866,0.019384854911052907,0.019476094786826693,-9.123987577378673e-05
2017-01-03,1.1640134370011785,1.152914869191842,1.1235534935403344,58.129403115033504,0.017991508133826883,0.019179177456226732,-0.0011876693223998487
2017-01-04,1.1747188693517248,1.1549914406356403,1.1255599788662713,61.54482267783656,0.017548817847624187,0.018853105534506226,-0.0013042876868820386
2017-01-05,1.181187141446632,1.1574862692843062,1.127741436222364,63.48302223209219,0.017517981718168762,0.018586080771238734,-0.0010680990530699715
2017-01-06,1.1939334585710806,1.1609574301687609,1.1303372018046667,67.01149982533971,0.01831098746464055,0.0185310621099191,-0.00022007464527855
2017-01-09,1.2013209707487713,1.1648015768906665,1.133120879018161,68.88787788163295,0.019312933252094933,0.018687436338354266,0.0006254969137406662
2017-01-10,1.2008979655292367,1.168239328189578,1.1357788039793797,68.64710244170564,0.019844099099373125,0.01891876889055804,0.0009253302088150853
2017-01-11,1.2035064861713067,1.171598105140219,1.138434791516318,69.35834035308714,0.02024219821499118,0.019183454755444668,0.0010587434595465128
2017-01-12,1.2011706217340061,1.1744145352920081,1.1408950201523056,67.87351425996988,0.02013708214573362,0.019374180233502458,0.000762901912231162
2017-01-13,1.2130050563933672,1.1780898230159471,1.1437228647107787,71.23357657533806,0.020769301299105036,0.019653204446622975,0.001116096852482061
2017-01-17,1.2075983863861723,1.18090016238454,1.1462277871294215,67.74744280354562,0.020596641190214093,0.0198418917953412,0.0007547493948728938
2017-01-18,1.2157538118414541,1.184219557570913,1.1489542979024423,70.12265665816132,0.020877221868396356,0.020048957809952233,0.0008282640584441232
2017-01-19,1.2243488628797312,1.1880413961717529,1.151910947509395,72.42730320830117,0.021544778073804727,0.020348121862722734,0.001196656211081993
2017-01-20,1.2287682022418385,1.1919201396069992,1.1549249574989024,73.55676242696849,0.022174807550531472,0.020713459000284484,0.001461348550246988
2017-01-23,1.2363085922951236,1.1961476112915825,1.1581164725889503,75.40777859584745,0.02301722862571598,0.021174212925370785,0.001843015700345195
2017-01-24,1.2519313779363845,1.2014603509720398,1.1617954884849282,78.72989314130672,0.02466120264032612,0.021871610868361854,0.0027895917719642643
2017-01-25,1.2630341068756334,1.2073245182009535,1.165765630382603,80.72292369097329,0.02655386490173739,0.02280806167503696,0.003745803226700428
2017-01-26,1.2673961518851882,1.2130456261708806,1.1697511410297632,81.45802201701137,0.028082081205294873,0.023862865581088542,0.004219215624206331
2017-01-27,1.2727913754286595,1.2187356975287642,1.1737919345356023,82.35430867130484,0.029389766156503905,0.024968245696171617,0.004421520460332288
2017-01-30,1.2611649985632867,1.222776583341576,1.1772183292033547,74.0477287703463,0.02915191927538152,0.025804980412013602,0.0033469388633679195
2017-01-31,1.2551724314891144,1.2258619022127704,1.1802753528224041,70.12180212470417,0.02815531686088879,0.026275047701788644,0.0018802691591001466
2017-02-01,1.2693884739320596,1.2300072899955599,1.183769985022783,73.68604331671766,0.028187687963376895,0.026657575754106294,0.001530112209270601
2017-02-02,1.2742184890080832,1.234217880377705,1.1873169851790695,74.7865663525529,0.02827712307294794,0.026981485217874628,0.001295637855073313
2017-02-03,1.2728878043024765,1.2379007302753025,1.1906727035760658,73.86994051735188,0.027918795412216424,0.02716894725674299,0.0007498481554734336
2017-02-06,1.2813267064495593,1.2420365375299935,1.1942277625122812,75.88827118543239,0.027993080232068923,0.027333773851808178,0.0006593063802607449
2017-02-07,1.2884382989708207,1.2464557529053104,1.1979222933537927,77.46777811996904,0.028299577654081753,0.027526934612262896,0.0007726430418188573
2017-02-08,1.2963617008240274,1.2512087003261407,1.2017826622741943,79.10975213858168,0.028849274897178923,0.027791402669246103,0.0010578722279328198
2017-02-09,1.3005340936432623,1.2559063568325333,1.2056552674259224,79.9387958862314,0.029284023162710282,0.02808992676793894,0.0011940963947713427
2017-02-10,1.3003314410508973,1.2601373172342822,1.2093680585484705,79.77320266999271,0.02927475082021469,0.02832689157839409,0.0009478592418206006
2017-02-13,1.3036384290585838,1.264280280265168,1.213064935823377,80.48367650253124,0.029197676081605284,0.028501048479036332,0.0006966276025689513
2017-02-14,1.3046533642603708,1.2681253358837588,1.2166566388993376,80.70764992032112,0.02888551633290426,0.028577942049809922,0.0003075742830943376
2017-02-15,1.3076993455794517,1.2718942891881104,1.2202269411220872,81.39763581812599,0.02855475132068186,0.028573303903984312,-1.855258330245302e-05
2017-02-16,1.3034569509537266,1.274900256975312,1.223490863076269,77.25342957313148,0.02763177002961581,0.028384997129110613,-0.0007532270994948034
2017-02-17,1.307770696352226,1.2780307750112085,1.2267959545772869,78.45461998461593,0.026937861015360554,0.028095569906360602,-0.0011577088910000484
2017-02-21,1.3205867451241615,1.2820837245457755,1.2304740247948114,81.56873960909485,0.027109578800638134,0.02789837168521611,-0.0007887928845779768
2017-02-22,1.3229554001582366,1.2859762650802955,1.2341007453972985,82.08414737918307,0.02712412699637312,0.027743522747447517,-0.0006193957510743954
2017-02-23,1.2971662477793615,1.2870419777183018,1.2365739023534579,61.815904808908535,0.024769163974245112,0.027148650992807038,-0.002379487018561926
2017-02-24,1.2991452660522247,1.2881946718453419,1.239027681322037,62.579501072720916,0.02279970820403987,0.026278862435053604,-0.003479154231013734
2017-02-27,1.300674904656574,1.2893832654464115,1.2414452194920187,63.19219687218284,0.021118884019707185,0.025246866751984322,-0.004127982732277137
2017-02-28,1.293538720125499,1.289779023034896,1.2434881018698023,58.38902147704139,0.018992059650361215,0.0239959053316597,-0.005003845681298486
2017-03-01,1.308194868406562,1.2915329130702926,1.2460256221261459,64.37763401445358,0.018278461962891512,0.022852416657906063,-0.004573954695014551
2017-03-02,1.2971750156810682,1.2920702561760808,1.248031480696927,57.65837602888115,0.016631997324089598,0.021608332791142774,-0.004976335467053176
2017-03-03,1.2932897261512337,1.2921863961737146,1.249806313851998,55.460504023749685,0.01484255609388363,0.020255177451690944,-0.005412621357807314
2017-03-06,1.2908977149066372,1.292063664624469,1.2514177413443368,54.0933778271858,0.013080610573852791,0.018820264076123316,-0.005739653502270525
2017-03-07,1.292303014282767,1.2920864598300212,1.253021085381138,54.79834588704402,0.011663205793874809,0.017388852419673615,-0.005725646625798806
2017-03-08,1.2919549203578125,1.2920739322612396,1.254547902439047,54.57478367448444,0.010392021270888563,0.015989486189916607,-0.0055974649190280445
2017-03-09,1.2928147960707856,1.2921444907192916,1.256048564934409,55.06249609659079,0.00934624546193863,0.014660838044321013,-0.0053145925823823836
2017-03-10,1.2972822406091824,1.2926338002326145,1.2576655718236158,57.60902377871372,0.008776772862981508,0.013484025008053114,-0.004707252145071606
