scope,horizon,var,breach_rate,kupiec_p,n
per_stock,1d,95,0.054011318242343544,0.04628289175155498,12016
per_stock,1d,99,0.006158455392809587,5.220767166025375e-06,12016
portfolio,1d,95,0.041278295605858856,0.25875460754622825,751
portfolio,1d,99,0.002663115845539281,0.01631706087250917,751
