scope,rows,reference_qlike,candidate_qlike,relative_gain
all,27027,0.6571401987602066,0.6624924609594881,-0.008144779773599875
news_active,17900,0.5384841572379505,0.5338180158094631,0.008665327226006958
zero_news,9127,0.6716250170521868,0.6772324410468838,-0.008349039795016059
high_volatility,9009,1.353879642340831,1.4687585212815313,-0.0848516185250241
