scope,rows,symbols,reference_qlike,candidate_qlike,relative_gain
all,27027,21,0.6571401987602066,0.6855238443705507,-0.04319267891980147
news_active,17900,21,0.5384841572379505,0.5531736819707568,-0.02727940002571909
zero_news,9127,21,0.6716250170521868,0.7043078616298725,-0.048662339472006495
high_volatility,9009,21,1.353879642340831,1.4613053051159994,-0.07934653821179523
