news_family,forecast_column,reference_qlike,candidate_qlike,relative_gain,dm_t,dm_p,positive_years,news_active_gain,zero_news_gain,high_volatility_gain
log_count,forecast__overlay_log_count,0.6571401987602066,0.6531274293490277,0.006106412937071246,-3.6395532492152602,0.0002731114585512451,5,0.014555248981380988,0.0,-0.02582685850605965
attention,forecast__overlay_attention,0.6571401987602066,0.6486017332041841,0.012993369713390749,-3.201758363449151,0.001365915236765991,4,0.020333209183643286,0.015745294286367718,-0.04173280141069408
attention_finbert,forecast__overlay_attention_finbert,0.6571401987602066,0.6626825019819793,-0.008433973803807959,0.45959968052056144,0.6458035885001443,4,0.00805578891787248,-0.009393418377650531,-0.08119597440953372
all_deployable,forecast__overlay_all_deployable,0.6571401987602066,0.6518493832237573,0.008051273604066825,-1.9402492587605953,0.052349404702787705,4,0.01766950740963263,0.006278565712637824,-0.045817277921901677
