outer_year,news_family,news_feature_count,alpha,mean_inner_qlike,median_gain,mean_gain,positive_fold_share,selected
2018,log_count,1,0.001,0.6478012323927984,-5.295840876410856e-05,-5.295840876410856e-05,0.0,False
2018,log_count,1,0.01,0.647800859076463,-5.237564192558689e-05,-5.237564192558689e-05,0.0,False
2018,log_count,1,0.1,0.6477974850087846,-4.711172253915575e-05,-4.711172253915575e-05,0.0,False
2018,log_count,1,1.0,0.6477814601565304,-2.222075098600552e-05,-2.222075098600552e-05,0.0,False
2018,log_count,1,10.0,0.6477688494334493,-2.930729609830139e-06,-2.930729609830139e-06,0.5,False
2018,log_count,1,100.0,0.6477670749998465,-2.868715969957181e-07,-2.868715969957181e-07,0.5,False
2018,attention,11,0.001,0.6467616793956389,0.0015229616962265677,0.0015229616962265677,1.0,False
2018,attention,11,0.01,0.6466480981538483,0.0016969433274675355,0.0016969433274675355,1.0,False
2018,attention,11,0.1,0.6465215443341035,0.0018830080416133259,0.0018830080416133259,1.0,False
2018,attention,11,1.0,0.6471901770327619,0.0008653763862964894,0.0008653763862964894,1.0,False
2018,attention,11,10.0,0.6476792925690814,0.00013233186071794146,0.00013233186071794146,1.0,False
2018,attention,11,100.0,0.6477579851264397,1.3552874916517576e-05,1.3552874916517576e-05,1.0,False
2018,attention_finbert,20,0.001,0.646677008426932,0.0016893713974408873,0.0016893713974408873,1.0,False
2018,attention_finbert,20,0.01,0.6465268986911457,0.0019153041400604498,0.0019153041400604498,1.0,False
2018,attention_finbert,20,0.1,0.6464143075600459,0.002066942802078426,0.002066942802078426,1.0,True
2018,attention_finbert,20,1.0,0.6472235524764876,0.0008231398282092286,0.0008231398282092286,1.0,False
2018,attention_finbert,20,10.0,0.6476994992627474,0.00010488869240881212,0.00010488869240881212,1.0,False
2018,attention_finbert,20,100.0,0.6477606742352422,1.0028231141495114e-05,1.0028231141495114e-05,0.5,False
2018,all_deployable,34,0.001,0.6500763340940672,-0.003454800299749133,-0.003454800299749133,0.0,False
2018,all_deployable,34,0.01,0.6492680606751083,-0.002246474635393407,-0.002246474635393407,0.0,False
2018,all_deployable,34,0.1,0.6481929465685856,-0.0006373580812430834,-0.0006373580812430834,0.0,False
2018,all_deployable,34,1.0,0.6476980972465394,0.00010188922372796729,0.00010188922372796729,0.5,False
2018,all_deployable,34,10.0,0.6477678284987796,1.769369393938326e-06,1.769369393938326e-06,0.5,False
2018,all_deployable,34,100.0,0.6477687848362568,-2.0557146649094486e-06,-2.0557146649094486e-06,0.5,False
2019,log_count,1,0.001,0.6054087752034798,0.0007579473116751024,-0.0015002464566662356,0.6666666666666666,False
2019,log_count,1,0.01,0.6054007463040147,0.0007563173663944104,-0.0014839522989961295,0.6666666666666666,False
2019,log_count,1,0.1,0.6053283163894743,0.0007386790650522689,-0.0013360406406395832,0.6666666666666666,False
2019,log_count,1,1.0,0.6049954891255346,0.0005533720371476776,-0.0006230901173493795,0.6666666666666666,False
2019,log_count,1,10.0,0.604786356306939,0.0001361153609322717,-7.657235151487412e-05,0.6666666666666666,False
2019,log_count,1,100.0,0.6047712803836275,1.571913085069314e-05,-7.2602810287154345e-06,0.6666666666666666,False
2019,attention,11,0.001,0.6055189020571962,0.00031880666491811144,-0.002039792775987681,0.6666666666666666,False
2019,attention,11,0.01,0.6054380409195906,0.0005422681242649884,-0.0019162523387228072,0.6666666666666666,False
2019,attention,11,0.1,0.6053899648099641,0.0006751346326669871,-0.0018586581537390087,0.6666666666666666,False
2019,attention,11,1.0,0.6051888127681178,0.000438615933705284,-0.0013275311986045285,0.6666666666666666,False
2019,attention,11,10.0,0.6047110166858713,0.0004859172164145388,-0.00014045081455992068,0.6666666666666666,False
2019,attention,11,100.0,0.6047422381576357,9.66149083990825e-05,1.172066386090563e-05,0.6666666666666666,False
2019,attention_finbert,20,0.001,0.6051713743312738,0.0018127966661959929,-0.001386954902500343,0.6666666666666666,False
2019,attention_finbert,20,0.01,0.605087524194878,0.0019347223783450125,-0.0012665899685802993,0.6666666666666666,True
2019,attention_finbert,20,0.1,0.6051225558404116,0.0015504103278395744,-0.0013670198583971254,0.6666666666666666,False
2019,attention_finbert,20,1.0,0.6051591030167721,0.0006385374145813471,-0.0012516572569504494,0.6666666666666666,False
2019,attention_finbert,20,10.0,0.6047816787423345,0.0005268248503153234,-0.0002805212689084012,0.6666666666666666,False
2019,attention_finbert,20,100.0,0.6047489363959684,0.00012226887949394187,-9.139338889032708e-06,0.6666666666666666,False
2019,all_deployable,34,0.001,0.6088769204228157,-0.005151624414662623,-0.007417387733557958,0.0,False
2019,all_deployable,34,0.01,0.6081502539765393,-0.0028497647009472294,-0.006251760215445663,0.0,False
2019,all_deployable,34,0.1,0.6070529104373933,-0.0001815436597041099,-0.004503321580808088,0.3333333333333333,False
2019,all_deployable,34,1.0,0.6056149934122536,0.0002178618061493,-0.0019838450306529742,0.6666666666666666,False
2019,all_deployable,34,10.0,0.6048710395802342,0.0005609694796239813,-0.0004549407472450851,0.6666666666666666,False
2019,all_deployable,34,100.0,0.6047571072924246,0.00015659790971160153,-3.599794363448851e-05,0.6666666666666666,False
2020,log_count,1,0.001,0.5871895686862739,0.000316353381913023,-0.0013927224926067842,0.75,False
2020,log_count,1,0.01,0.5871823598594499,0.0003187595571835925,-0.0013792087289125573,0.75,False
2020,log_count,1,0.1,0.5871167178466129,0.0003381626034584047,-0.0012558207494430252,0.75,False
2020,log_count,1,1.0,0.5867932373494275,0.0003443578424421789,-0.0006358128671839674,0.75,False
2020,log_count,1,10.0,0.5865275860224137,0.00010381935206938325,-9.369839322922915e-05,0.75,False
2020,log_count,1,100.0,0.5864901143583675,1.239236295059257e-05,-9.505284364048332e-06,0.75,False
2020,attention,11,0.001,0.5864536122457902,0.0012515081089405264,-0.00013356695775772632,0.5,False
2020,attention,11,0.01,0.5863831156031101,0.0014942336535895056,-2.7530566966983347e-05,0.5,False
2020,attention,11,0.1,0.5864234061136072,0.001834362327147765,-0.0001473370143459142,0.5,False
2020,attention,11,1.0,0.5866150538333174,0.0012613175870366511,-0.00043724752273544237,0.5,False
2020,attention,11,10.0,0.5864216513490573,0.0006860765897407483,2.5264269515767987e-05,0.5,False
2020,attention,11,100.0,0.5864624870663887,0.00012361870173960136,2.782461033600046e-05,0.75,False
2020,attention_finbert,20,0.001,0.5864420123179945,0.0014238169292007876,-0.00011619478643638218,0.5,False
2020,attention_finbert,20,0.01,0.5863381773422267,0.0017264515295014387,4.391420103462638e-05,0.75,False
2020,attention_finbert,20,0.1,0.586280994802424,0.0020755391413345104,0.0001033451891688554,0.75,True
2020,attention_finbert,20,1.0,0.5865057580547337,0.0012906009300616068,-0.00022754722716299418,0.5,False
2020,attention_finbert,20,10.0,0.5864788963216871,0.0006714785791160143,-8.219266135883654e-05,0.5,False
2020,attention_finbert,20,100.0,0.586471788252613,0.00014313357009323045,7.348216471075831e-06,0.75,False
2020,all_deployable,34,0.001,0.588687478309514,-0.004005183660978247,-0.0036724157446655125,0.25,False
2020,all_deployable,34,0.01,0.5879927119722301,-0.0025434413480981475,-0.0025426166229386765,0.25,False
2020,all_deployable,34,0.1,0.5871391715261028,-0.000431883630943997,-0.0011979343101496068,0.25,False
2020,all_deployable,34,1.0,0.5865836320700759,0.0007158318947388305,-0.00029577637373240677,0.5,False
2020,all_deployable,34,10.0,0.5865172175645654,0.0006380622286242854,-0.0001496741477132002,0.75,False
2020,all_deployable,34,100.0,0.5864810127895768,0.00016656443187087542,-1.3351357215531014e-05,0.75,False
2021,log_count,1,0.001,0.7814567684226953,0.011993882866926233,-0.004148734219239026,0.6,False
2021,log_count,1,0.01,0.7812981952054388,0.011988252337524432,-0.0040013524631500015,0.6,False
2021,log_count,1,0.1,0.7798557852104346,0.011881656774426243,-0.002692871417566964,0.6,False
2021,log_count,1,1.0,0.7730304289126909,0.009345876517632887,0.0022438856442394115,0.6,False
2021,log_count,1,10.0,0.7689234373948028,0.002258600497222529,0.0013976204307372501,0.8,False
2021,log_count,1,100.0,0.7687153276820737,0.0002572934065232763,0.0001764807803624961,0.8,False
2021,attention,11,0.001,0.8277797607553857,0.017621415497096605,-0.030258427640219288,0.6,False
2021,attention,11,0.01,0.826729240036031,0.01798752546823373,-0.029501242670702373,0.6,False
2021,attention,11,0.1,0.8233708110932764,0.018406366454483597,-0.027355037917508325,0.6,False
2021,attention,11,1.0,0.8099844040635711,0.01835936882167604,-0.018234005003385657,0.6,False
2021,attention,11,10.0,0.7799205429434162,0.011493242686350089,-0.0004589065708666129,0.8,False
2021,attention,11,100.0,0.7698526070118211,0.0019600573017444635,0.000554724261264639,0.8,False
2021,attention_finbert,20,0.001,0.8282581513777794,0.019036924354090108,-0.030593297144726257,0.6,False
2021,attention_finbert,20,0.01,0.8266348471812112,0.019317981961452343,-0.029405262099525757,0.6,True
2021,attention_finbert,20,0.1,0.8221188546705875,0.019198662609245076,-0.026358988349113828,0.6,False
2021,attention_finbert,20,1.0,0.8098173426082317,0.0183078412775282,-0.018150738366280745,0.6,False
2021,attention_finbert,20,10.0,0.7815745350974194,0.012552907218824468,-0.0011557514237402783,0.8,False
2021,attention_finbert,20,100.0,0.7700572749557701,0.0025540792047947613,0.0008229097046057287,0.8,False
2021,all_deployable,34,0.001,0.8273585928082919,0.01662813943003634,-0.0317125357604056,0.6,False
2021,all_deployable,34,0.01,0.8245803034344394,0.01699873806761437,-0.029315547461260978,0.6,False
2021,all_deployable,34,0.1,0.8198588823412699,0.017537776950363165,-0.02546389969190318,0.6,False
2021,all_deployable,34,1.0,0.808842776776979,0.018144109753365084,-0.017528578090546844,0.6,False
2021,all_deployable,34,10.0,0.7822094938075208,0.013635183319349417,-0.0012258467778854365,0.8,False
2021,all_deployable,34,100.0,0.7701094906559696,0.003292229652243608,0.0012702055967369389,0.8,False
2022,log_count,1,0.001,0.7111064488548734,0.006416509030113512,-0.0005575288011593198,0.6666666666666666,False
2022,log_count,1,0.01,0.711055348959198,0.006393773866336593,-0.0005244064711697746,0.6666666666666666,False
2022,log_count,1,0.1,0.7105863135078924,0.00616753780239706,-0.00023137140898758386,0.6666666666666666,False
2022,log_count,1,1.0,0.7081796496897551,0.004362898918207163,0.0008463532423747044,0.6666666666666666,False
2022,log_count,1,10.0,0.7061324614950277,0.0010137520384151156,0.000449433925787197,0.6666666666666666,False
2022,log_count,1,100.0,0.7058555033018682,0.00011562705907578586,5.728256469527637e-05,0.8333333333333334,False
2022,attention,11,0.001,0.7388793169031508,0.011332643243622058,-0.015682289502918997,0.6666666666666666,False
2022,attention,11,0.01,0.7355006436153109,0.011448416769055513,-0.01316310503509061,0.6666666666666666,True
2022,attention,11,0.1,0.7303833140534263,0.011363003757647762,-0.009933498412896228,0.6666666666666666,False
2022,attention,11,1.0,0.7238641141228719,0.010107943779856458,-0.005988513694716748,0.6666666666666666,False
2022,attention,11,10.0,0.7117560750644185,0.005335212529067599,-0.0007432173076769314,0.8333333333333334,False
2022,attention,11,100.0,0.706556908024759,0.0008827522031943336,7.536838883089492e-05,0.8333333333333334,False
2022,attention_finbert,20,0.001,0.7394620628521816,0.010255616918168267,-0.016815378275214458,0.6666666666666666,False
2022,attention_finbert,20,0.01,0.7356425478429393,0.01064709268171327,-0.013878515869934679,0.6666666666666666,False
2022,attention_finbert,20,0.1,0.7296484147125869,0.010973648161857029,-0.009830819040811256,0.6666666666666666,False
2022,attention_finbert,20,1.0,0.7233101685701017,0.00969638472428555,-0.005635656020477745,0.6666666666666666,False
2022,attention_finbert,20,10.0,0.712228067867521,0.005685769453538193,-0.0007609437741776271,0.6666666666666666,False
2022,attention_finbert,20,100.0,0.7066693015855091,0.001102454146109107,0.00018055468909203995,0.8333333333333334,False
2022,all_deployable,34,0.001,0.7393680070703758,0.003205326683266566,-0.018528990392340957,0.6666666666666666,False
2022,all_deployable,34,0.01,0.7346900191345801,0.00452220434166281,-0.014704660015183639,0.6666666666666666,False
2022,all_deployable,34,0.1,0.7284619727018485,0.006790395921505926,-0.009791911559734596,0.6666666666666666,False
2022,all_deployable,34,1.0,0.722493185280936,0.008781937469327856,-0.004778349158608245,0.6666666666666666,False
2022,all_deployable,34,10.0,0.7122995245275647,0.006094995345598476,-0.00040954330918927147,0.6666666666666666,False
2022,all_deployable,34,100.0,0.7067227605913446,0.00139696447443825,0.0003764477042214332,0.8333333333333334,False
2023,log_count,1,0.001,0.6528902489002003,0.005481147056882415,0.001179613687285714,0.7142857142857143,False
2023,log_count,1,0.01,0.6528546739310407,0.005461432925742073,0.0011964171822312338,0.7142857142857143,False
2023,log_count,1,0.1,0.6525275612418617,0.00526605820892448,0.001340544614777757,0.7142857142857143,False
2023,log_count,1,1.0,0.650826718430714,0.003729339804777478,0.001675392330356848,0.7142857142857143,False
2023,log_count,1,10.0,0.6493275398640888,0.000874639522398274,0.0005979820799827586,0.7142857142857143,False
2023,log_count,1,100.0,0.6491177816237241,0.00010007571515165128,7.372768515507946e-05,0.7142857142857143,False
2023,attention,11,0.001,0.6746103411911287,0.006833619476491985,-0.01335208037561618,0.7142857142857143,False
2023,attention,11,0.01,0.6716500713298028,0.007403609715543769,-0.011036478599685236,0.7142857142857143,False
2023,attention,11,0.1,0.6671507137026689,0.011268528960298415,-0.007631295463498259,0.7142857142857143,True
2023,attention,11,1.0,0.6618783228301488,0.009854215106701609,-0.003303485462284164,0.7142857142857143,False
2023,attention,11,10.0,0.6533985375785009,0.0048470559984199425,0.00010894355358652061,0.7142857142857143,False
2023,attention,11,100.0,0.6496408364248021,0.0007356551928357052,0.000163349322956668,0.8571428571428571,False
2023,attention_finbert,20,0.001,0.6749714686733669,0.008493682555600318,-0.0140238745340342,0.7142857142857143,False
2023,attention_finbert,20,0.01,0.671693787585984,0.008204769557038428,-0.011488634635320311,0.7142857142857143,False
2023,attention_finbert,20,0.1,0.6666087008483671,0.008958052432727202,-0.007843835804919172,0.7142857142857143,False
2023,attention_finbert,20,1.0,0.6613286958900245,0.009110974977264335,-0.002887083884976011,0.7142857142857143,False
2023,attention_finbert,20,10.0,0.6537092270475104,0.004980369756144226,0.00030038563186002114,0.7142857142857143,False
2023,attention_finbert,20,100.0,0.6497275957731435,0.0009544696364262995,0.0003061757836200039,0.8571428571428571,False
2023,all_deployable,34,0.001,0.6745802239858169,0.003296510892217823,-0.015181372154390197,0.5714285714285714,False
2023,all_deployable,34,0.01,0.6709105395939066,0.002525211932148838,-0.012764319755190202,0.5714285714285714,False
2023,all_deployable,34,0.1,0.666040335814823,0.00356772375714465,-0.009348084621560193,0.5714285714285714,False
2023,all_deployable,34,1.0,0.6604462395219655,0.007079162537355832,-0.001622744776341729,0.7142857142857143,False
2023,all_deployable,34,10.0,0.653617868366413,0.0050786957208680495,0.0010388961858915104,0.7142857142857143,False
2023,all_deployable,34,100.0,0.6497511057364805,0.001175420143114741,0.0005748402394807103,0.7142857142857143,False
