outer_year,news_family,feature,total_gain,is_news
2020,all_deployable,mkt_l_rv66,16001.9189453125,False
2020,all_deployable,mkt_drawdown,6722.42138671875,False
2020,all_deployable,cross_median_l_rv22,6613.02978515625,False
2020,all_deployable,cross_ret_dispersion,6218.7490234375,False
2020,all_deployable,cross_median_absret,2347.95068359375,False
2020,all_deployable,has_news,8.976828575134277,True
2020,all_deployable,log_count,84.19448852539062,True
2020,all_deployable,count_z20,1189.6580810546875,True
2020,all_deployable,count_ratio20,1427.2454833984375,True
2020,all_deployable,news_count_3d,995.576416015625,True
2020,all_deployable,news_count_5d,2033.23095703125,True
2020,all_deployable,days_since_news,597.5499267578125,True
2020,all_deployable,sent_mean,176.90423583984375,True
2020,all_deployable,sent_std,42.51398468017578,True
2020,all_deployable,sent_range,319.615234375,True
2020,all_deployable,sent_abs_mean,176.66033935546875,True
2020,all_deployable,sent_positive_share,41.682899475097656,True
2020,all_deployable,sent_negative_share,17.39028549194336,True
2020,all_deployable,sent_extreme_share,49.440608978271484,True
2020,all_deployable,sent_surprise20,178.7465362548828,True
2020,all_deployable,sent_abs_surprise20,441.14459228515625,True
2020,all_deployable,unique_story_count,73.16893005371094,True
2020,all_deployable,unique_publisher_count,25.174983978271484,True
2020,all_deployable,publisher_entropy,42.91835021972656,True
2020,all_deployable,publisher_missing_share,131.16510009765625,True
2020,all_deployable,title_token_novelty,353.38104248046875,True
2020,all_deployable,event_earnings_share,724.8084716796875,True
2020,all_deployable,event_analyst_share,57.53900146484375,True
2020,all_deployable,event_corporate_action_share,29.08694076538086,True
2020,all_deployable,event_legal_regulatory_share,35.96506118774414,True
2020,all_deployable,event_product_share,292.1764221191406,True
2020,all_deployable,event_macro_share,38.01679992675781,True
2020,all_deployable,event_management_share,38.31493377685547,True
2020,all_deployable,event_financing_share,57.97549057006836,True
2020,all_deployable,news_state_uncovered,323.36767578125,True
2020,all_deployable,news_quality_available,254.7857208251953,True
2021,log_count,l_rv5,69.71598815917969,False
2021,log_count,l_rv66,10958.6494140625,False
2021,log_count,l_park5,19426.36328125,False
2021,log_count,l_park22,31730.568359375,False
