total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,period,scope,strategy,transaction_cost_bps,rebalance_sessions,turnover_penalty_multiplier
1.3167537750286646,0.32320345579343934,0.14007748650178153,0.3283186114575077,0.30659900410161295,1.070840436744199,1.1515012585304414,0.046309763509205015,-0.29516882620350315,-0.048216902924217056,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,756,validation,all,equal_weight,25.0,5,2.0
0.6985866798157776,0.193152360252399,0.14007748650178153,0.20791696949669652,0.24217757147123675,0.8585310697171256,0.7782166454897231,0.03196704112557855,-0.24268118951651063,-0.03573296018966969,0.0014122694634974271,0.35589190480135163,0.002669189286010137,1.0,0.20000000000000046,0.05000000000000002,0.01026762786647202,756,validation,all,risk_only,25.0,5,2.0
0.7761688092735766,0.21104815702109025,0.14007748650178153,0.22018726525206844,0.23436490170681085,0.9395061446851007,0.9125072420371899,0.05540654379593912,-0.20703535697954,-0.03512072527116733,0.0014641069704202083,0.3689549565458925,0.0027671621740941936,1.0,0.2000000000000004,0.05000000000000004,0.010164262076724856,756,validation,all,quantile_hgb_rank_signal,25.0,5,2.0
0.36110452842996854,0.11197183659777443,0.08459199801513972,0.11971649672019227,0.16469597131920538,0.7268938988687454,1.0518840157331402,0.038342207813862716,-0.23829347744148688,-0.02307431367955827,0.004245068664473357,1.069757303447286,0.0031073902623944974,1.0,0.20000000000000023,0.05000000000000002,0.010323524873987836,732,locked_test_reused,all,risk_only,10.0,5,2.0
0.4036324038684629,0.1238123191923175,0.08459199801513972,0.13085908672309216,0.16799775979807016,0.7789335219730434,1.1300138952858299,0.04618934483158192,-0.25609078877875224,-0.023563823875321487,0.005961904719070211,1.5023999892056934,0.004364114254359395,1.0,0.20000000000000015,0.05000000000000003,0.0023246076822286987,732,locked_test_reused,all,quantile_hgb_rank_signal,10.0,5,2.0
0.28963853791133864,0.09151565288889052,0.08459199801513972,0.10138943180752717,0.16617857605012606,0.6101233637779162,0.8812488112217763,0.018543474393384593,-0.23045987150258884,-0.02334900790010154,0.0013306600519880283,0.33532633310098314,0.002435107895138092,1.0,0.2000000000000002,0.05000000000000002,0.011114887394498122,732,locked_test_reused,all,risk_only,25.0,5,2.0
0.287254198940051,0.09082049593534691,0.08459199801513972,0.1009352083788757,0.1672729392387965,0.6034162419707471,0.8722379410575899,0.01699449977411739,-0.25219137614167175,-0.023595796042796654,0.0016359807646024092,0.4122671526798071,0.0029938447992224086,1.0,0.2000000000000008,0.05000000000000002,0.010322069742250861,732,locked_test_reused,all,quantile_hgb_rank_signal,25.0,5,2.0
0.3411127904912443,0.10632187144940852,0.08459199801513972,0.11758277695869364,0.18182257520136366,0.6466896469180125,0.948858791980417,0.018404430400127,-0.2419875115113056,-0.02591707801080265,0.00045665288265843044,0.11507652642992447,0.0016713495505298556,1.0,0.20000000000000032,0.05000000000000002,0.010347597882586074,732,locked_test_reused,all,risk_only,50.0,5,2.0
0.3664045033990393,0.11346055297929625,0.08459199801513972,0.12457024465661914,0.1848409477015971,0.6739320816387635,0.9901623495830234,0.022071716814945477,-0.24870204116397188,-0.026336390240426756,0.0004997376974512699,0.12593389975772,0.0018290399726716483,1.0,0.20000000000000015,0.05000000000000002,0.010943606411765255,732,locked_test_reused,all,quantile_hgb_rank_signal,50.0,5,2.0
0.3607555781878218,0.133378961926097,0.2073979330718947,0.1284269714187837,0.07995079726168927,1.6063250876464141,2.0088987556261735,0.10925058147044447,-0.09168402944696341,-0.011892028384418185,0.0011129896733735462,0.2804733976901336,0.0006900535974915987,1.0,0.20000000000000015,0.050000000000000024,1.0896351941413335e-05,620,external_reused,all,risk_only,10.0,5,2.0
0.40659382408197353,0.14874440625842889,0.2073979330718947,0.1428627993764816,0.09123655252506523,1.5658504779346327,2.076313428058481,0.11789047382650465,-0.10150675902609141,-0.01326009881276489,0.003335032744713781,0.8404282516678728,0.0020677203017225444,1.0,0.20000000000000007,0.05000000000000003,0.010283534428243646,620,external_reused,all,quantile_hgb_rank_signal,10.0,5,2.0
0.3322855113338321,0.12368032209309399,0.2073979330718947,0.12163640427765644,0.10002897636885244,1.2160116867449244,1.4532696521322477,0.09161901593745511,-0.12793786509683958,-0.015666215002337516,0.0007966147819088647,0.2007469250410339,0.0012347529119587398,1.0,0.2000000000000005,0.05000000000000002,1.0488867581950195e-05,620,external_reused,all,risk_only,25.0,5,2.0
0.31131711533550743,0.11645827396440134,0.2073979330718947,0.11564552940534525,0.1046264573040049,1.1053182185966892,1.3896798151316077,0.08280544270138498,-0.11907709080225437,-0.015887168435257396,0.000782531496792952,0.19719793719182388,0.0012129238200290753,1.0,0.1844337632218754,0.05,1.1721556675543462e-05,620,external_reused,all,quantile_hgb_rank_signal,25.0,5,2.0
0.3197471682785269,0.1193699789808953,0.2073979330718947,0.12067795584086854,0.1258417166202414,0.958966224253315,1.203002810107248,0.07316954291508113,-0.150946520805867,-0.01893040239015072,0.0005072283458524062,0.12782154315480634,0.0015724078721424594,1.0,0.14187632427435076,0.05000000000000003,1.1121250967909002e-05,620,external_reused,all,risk_only,50.0,5,2.0
0.3150489816123163,0.1177486113811188,0.2073979330718947,0.11924465586159072,0.1259702835537305,0.9466094105498217,1.1868780922870243,0.07163911884576893,-0.15012984070690916,-0.018949022761975628,0.000521805845209347,0.13149507299275545,0.0016175981201489754,1.0,0.14377746566992733,0.04999999999999999,1.2689726658660083e-05,620,external_reused,all,quantile_hgb_rank_signal,50.0,5,2.0
0.5506828386732976,0.19519391327533553,0.2073979330718947,0.18880989581660249,0.14471863419912936,1.304668862178485,1.7818441730168344,0.12597944656321824,-0.12791228090713036,-0.02079104636192335,0.000991545366937561,0.24986943246826535,0.00153689531875322,1.0,0.19712409052449753,0.05,0.011083302449413348,620,external_reused,original_research,risk_only,25.0,5,2.0
0.5762190171293953,0.20315497380279512,0.2073979330718947,0.19606197462736172,0.1488289508657797,1.3173644878016963,1.7681735630980882,0.12961180477993572,-0.13502125723456337,-0.02170324522543747,0.0011268144564604025,0.2839572430280214,0.001746562407513624,1.0,0.20000000000000012,0.05000000000000002,0.011271653207658357,620,external_reused,original_research,quantile_hgb_rank_signal,25.0,5,2.0
0.26723043213426223,0.10104690888537893,0.2073979330718947,0.10012819020178663,0.08774108876355921,1.1411778861282156,1.3406890076411244,0.07703269422954231,-0.1208206863266722,-0.013521494672891723,0.0005463601559684323,0.13768275930404492,0.00084685824175107,1.0,0.19246941799283074,0.05000000000000002,0.015374791709205764,620,external_reused,unseen,risk_only,25.0,5,2.0
