model,alpha_strength,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,period,scope,strategy,transaction_cost_bps,rebalance_sessions,turnover_penalty_multiplier
elastic_net_a0005,0.0,0.7266865626199654,0.19969588650509884,0.14007748650178153,0.21284505767553294,0.24028160644137933,0.8858150269086869,0.8037796540539115,0.039639306493383236,-0.23957436120078912,-0.035681136478659614,0.002773262453288922,0.6988621382288084,0.005241466036716063,1.0,0.20000000000000018,0.050000000000000044,1.5198285232058608e-05,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a0005,0.0025,0.6515008585912745,0.18202392738251483,0.14007748650178153,0.2049519826669538,0.2617065869919247,0.783136508036299,0.6729345471374347,-0.0005190303579317435,-0.2886981657256834,-0.03755527844451656,0.003251407349966084,0.8193546521914531,0.006145159891435898,1.0,0.20000000000000048,0.05000000000000002,0.010987186474444174,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a0005,0.005,0.5927143531433514,0.16782911379758847,0.14007748650178153,0.19437970951681027,0.26823688776359156,0.7246568924111783,0.6470948830028309,-0.021473374354482544,-0.2830793240440431,-0.039155661098929886,0.006151674397671764,1.5502219482132844,0.011626664611599634,1.0,0.20000000000000048,0.050000000000000044,0.010103521596549455,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a0005,0.01,0.5690585374779518,0.16201851721679938,0.14007748650178153,0.20095228781120356,0.30451714758167875,0.6599046700885813,0.6147569547782462,-0.07723979170264217,-0.3102388586039686,-0.04400121781005528,0.013242285350116123,3.3370559082292632,0.025027919311719472,1.0,0.20000000000000054,0.050000000000000044,0.010154319569480277,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a0005,0.02,0.45018557406377946,0.13189947947240266,0.14007748650178153,0.20288772666399985,0.3739546473442398,0.5425463438009739,0.5120707261246991,-0.2166385081470643,-0.3852615351384332,-0.053815036037739954,0.02035494464118673,5.129446049579055,0.03847084537184292,1.0,0.2000000000000001,0.050000000000000044,0.010009452930313412,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a0005,0.03,0.5280464069739497,0.15180470437087967,0.14007748650178153,0.2301919776958926,0.3988596711139982,0.577125225653865,0.5602608045935247,-0.24707513402760783,-0.3883307735852294,-0.05796088077899235,0.021213746721827645,5.345864173900567,0.040093981304254254,1.0,0.20000000000000295,0.050000000000000044,0.010171287198937458,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a0005,0.05,0.7033382725145607,0.19426389135575217,0.14007748650178153,0.2689306851136669,0.4106857699670751,0.654833219897605,0.6716200950662475,-0.23705771984668111,-0.3610444389654617,-0.06075315942005424,0.020628927503822916,5.198489730963375,0.03898867298222532,1.0,0.20000000000000234,0.050000000000001724,0.01041231139383779,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a002,0.0,0.7266865626199654,0.19969588650509884,0.14007748650178153,0.21284505767553294,0.24028160644137933,0.8858150269086869,0.8037796540539115,0.039639306493383236,-0.23957436120078912,-0.035681136478659614,0.002773262453288922,0.6988621382288084,0.005241466036716063,1.0,0.20000000000000018,0.050000000000000044,1.5198285232058608e-05,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a002,0.0025,0.7032855447050963,0.19425156818821954,0.14007748650178153,0.21269608024400222,0.25457547440844147,0.8354932097769644,0.7341604458721492,0.01827006373315307,-0.2685512487090078,-0.03698014021616702,0.0031570643990331375,0.7955802285563506,0.0059668517141726295,1.0,0.20000000000002593,0.05000000000000003,0.010606419096264256,756,validation_screen,all,ml,25.0,5,1.0
elastic_net_a002,0.005,0.6210199379391352,0.17470671731098086,0.14007748650178153,0.19928742096345275,0.26528420852111295,0.7512223289672074,0.6707620062768159,-0.01183971290856728,-0.2780885200189448,-0.03866557728818163,0.005845562868714892,1.4730818429161527,0.011048113821871146,1.0,0.20000000000000015,0.050000000000000044,0.010606287293071552,756,validation_screen,all,ml,25.0,5,1.0
