model,alpha_strength,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,period,scope,strategy,transaction_cost_bps,rebalance_sessions,turnover_penalty_multiplier
quantile_hgb,0.0,0.63017211047524,0.1769133421157314,0.14007748650178153,0.19712593840423956,0.2501688903222348,0.7879714306216401,0.6783650926039326,0.009372517349064496,-0.27475814549630484,-0.03588371724689078,0.005895127177556224,1.4855720487441684,0.011141790365581264,1.0,0.20000000000001425,0.05000000000000003,0.010201147299069794,756,validation_tuning,all,ml,25.0,5,0.5
quantile_hgb,0.0,0.7266865626199654,0.19969588650509884,0.14007748650178153,0.21284505767553294,0.24028160644137933,0.8858150269086869,0.8037796540539115,0.039639306493383236,-0.23957436120078912,-0.035681136478659614,0.002773262453288922,0.6988621382288084,0.005241466036716063,1.0,0.20000000000000018,0.050000000000000044,1.5198285232058608e-05,756,validation_tuning,all,ml,25.0,5,1.0
quantile_hgb,0.0,0.6985866798157776,0.193152360252399,0.14007748650178153,0.20791696949669652,0.24217757147123675,0.8585310697171256,0.7782166454897231,0.03196704112557855,-0.24268118951651063,-0.03573296018966969,0.0014122694634974271,0.35589190480135163,0.002669189286010137,1.0,0.20000000000000046,0.05000000000000002,0.01026762786647202,756,validation_tuning,all,ml,25.0,5,2.0
quantile_hgb,0.0,0.6093739588988571,0.17188678421629722,0.14007748650178153,0.19645859695314055,0.2642757132850004,0.743384984231508,0.6640336123000711,-0.013066360943746635,-0.2713271611975109,-0.03908405184880479,0.0010083107745344373,0.2540943151826782,0.0019057073638700866,1.0,0.20000000000000068,0.05000000000000003,1.2888312126262097e-05,756,validation_tuning,all,ml,25.0,5,4.0
quantile_hgb,0.0,0.640096581587229,0.17929685715885824,0.14007748650178153,0.19823900302936098,0.24721293565272293,0.8018957523640308,0.6983075063796642,0.014896296367249012,-0.269653980259703,-0.03557047698259025,0.004135725961461528,1.042202942288305,0.007816522067162289,1.0,0.20000000000000406,0.050000000000000044,0.010200013764897098,756,validation_tuning,all,ml,25.0,10,0.5
quantile_hgb,0.0,0.7140689176146215,0.19676650734100232,0.14007748650178153,0.20833586640746224,0.23316834951855034,0.8934997688907496,0.8302248690298106,0.04523342875584771,-0.22227638298826669,-0.03492259434307803,0.002008868044288027,0.5062347471605828,0.003796760603704371,1.0,0.20000000000000037,0.05000000000000002,0.010562311192319693,756,validation_tuning,all,ml,25.0,10,1.0
quantile_hgb,0.0,0.751948190804899,0.2055181488190858,0.14007748650178153,0.2165891946848836,0.23725763184492987,0.9128861019166076,0.8648712744334185,0.04771564307889076,-0.22221185382350472,-0.035333743340749256,0.0012531990404270974,0.3158061581876285,0.0023685461864072143,1.0,0.2000000000000005,0.05000000000000002,0.011772951193407294,756,validation_tuning,all,ml,25.0,10,2.0
quantile_hgb,0.0,0.7328478318404497,0.2011211355161575,0.14007748650178153,0.21986100612861303,0.2615045759140549,0.8407539537697104,0.7675907735206986,0.014707076456643903,-0.25474115603802927,-0.03903514439850591,0.0009094658611821383,0.22918539701789886,0.0017188904776342417,1.0,0.20000000000000007,0.05000000000000007,0.012464831294530977,756,validation_tuning,all,ml,25.0,10,4.0
quantile_hgb,0.0,0.5968692136834493,0.16884372426818017,0.14007748650178153,0.19060217078029904,0.2514122013323352,0.7581261759382434,0.6547564138266297,0.0009778858439870863,-0.276149961668137,-0.03626064593470162,0.00293580126106921,0.739821917789441,0.005548664383420807,1.0,0.20000000000000645,0.05000000000000601,0.010062915774369541,756,validation_tuning,all,ml,25.0,20,0.5
quantile_hgb,0.0,0.6315633303414137,0.17724804699177832,0.14007748650178153,0.1943771299452826,0.24197682306204152,0.8032882136627002,0.7333372328154508,0.018718781247686972,-0.23973791285139634,-0.03601918878047456,0.0016454059288449822,0.41464229406893555,0.0031098172055170166,1.0,0.2000000000000007,0.05000000000000003,0.011130486647813903,756,validation_tuning,all,ml,25.0,20,1.0
