period,strategy,transaction_cost_bps,total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,average_cash_weight,average_health_score,learned_increase_share,learned_reduce_share,learned_hold_share
diagnostic_2021_2023,bandit_full,0.0,0.5520633769110714,0.16338356920263553,0.08459199801513972,0.19323833603297383,0.28974478485599614,0.666926019493375,1.0547117970921132,-0.058617785020768615,-0.3776475242598263,-0.039297820813578445,0.007929789329023867,1.9983069109140144,0.0,1.0,0.2712151958097034,0.03597572448096886,0.0,732,0.017270265748353452,51.46607429732383,0.29113247863247865,0.20512820512820512,0.5037393162393162
diagnostic_2021_2023,bandit_full,25.0,0.5296985214174357,0.15758484536902606,0.08459199801513972,0.18824256875568884,0.2897576474615952,0.6496552218889708,1.0272375779867875,-0.06363591403174546,-0.380103743643745,-0.03930649946319943,0.007929789329023867,1.9983069109140144,0.014511514472113676,1.0,0.2712151958097034,0.03597572448096886,0.0,732,0.017270265748353452,51.46607429732383,0.29113247863247865,0.20512820512820512,0.5037393162393162
diagnostic_2021_2023,bandit_full,50.0,0.5076523186023769,0.15181407252298618,0.08459199801513972,0.18324680147840375,0.2897730174157701,0.6323804856387951,1.000326161670689,-0.06865840338831689,-0.3825506748635402,-0.03931517811282042,0.007929789329023867,1.9983069109140144,0.029023028944227352,1.0,0.2712151958097034,0.03597572448096886,0.0,732,0.017270265748353452,51.46607429732383,0.29113247863247865,0.20512820512820512,0.5037393162393162
diagnostic_2021_2023,bandit_full_news_zeroed,0.0,0.47291437051994745,0.14260776706378553,0.08459199801513972,0.14916362961615803,0.1778407861380547,0.8387481457732924,1.1925969917515729,0.0542815939735541,-0.2441131660088941,-0.02579034490976606,0.004102220557927993,1.0337595805978543,0.0,1.0,0.25490734180045643,0.03402221991371411,0.0,732,0.02050519108106709,60.780955082132664,0.36642156862745096,0.1795343137254902,0.4540441176470588
diagnostic_2021_2023,bandit_full_news_zeroed,25.0,0.46191151846809997,0.13966211678133167,0.08459199801513972,0.1465792306646634,0.17783076450250693,0.8242625007811685,1.172057615278639,0.0517078882540252,-0.2447515170440009,-0.02579170885306453,0.004102220557927993,1.0337595805978543,0.007507063621008229,1.0,0.25490734180045643,0.03402221991371411,0.0,732,0.02050519108106709,60.780955082132664,0.36642156862745096,0.1795343137254902,0.4540441176470588
diagnostic_2021_2023,bandit_full_news_zeroed,50.0,0.45098952888607746,0.13672370165246672,0.08459199801513972,0.14399483171316876,0.17782237526416164,0.8097677893418035,1.1516470895335804,0.04913244027940378,-0.24538938135694432,-0.025793072796362993,0.004102220557927993,1.0337595805978543,0.015014127242016458,1.0,0.25490734180045643,0.03402221991371411,0.0,732,0.02050519108106709,60.780955082132664,0.36642156862745096,0.1795343137254902,0.4540441176470588
diagnostic_2021_2023,bandit_no_news,0.0,0.46107350738667296,0.1394371720182499,0.08459199801513972,0.1930835841580303,0.3542370121063534,0.5450689158931263,0.8598697182927839,-0.18336799808007995,-0.5244151103691774,-0.04638886536059114,0.0026634920644807935,0.6712000002491599,0.0,1.0,0.32645040801991465,0.03372531835149618,0.0,732,0.023414281815758182,46.05177401189534,0.3671875,0.08359375,0.54921875
diagnostic_2021_2023,bandit_no_news,25.0,0.4539693040815429,0.13752680495624592,0.08459199801513972,0.19140558415740747,0.3542390166772732,0.5403289167657839,0.8524279076535515,-0.18505025865203686,-0.5252395235137316,-0.04639130713765104,0.0026634920644807935,0.6712000002491599,0.004874190477999851,1.0,0.32645040801991465,0.03372531835149618,0.0,732,0.023414281815758182,46.05177401189534,0.3671875,0.08359375,0.54921875
diagnostic_2021_2023,bandit_no_news,50.0,0.4468988398471285,0.13561942360146517,0.08459199801513972,0.1897275841567845,0.35424153124281854,0.5355882002066374,0.844982961626398,-0.18673360321498586,-0.5260625929547318,-0.046393748914710944,0.0026634920644807935,0.6712000002491599,0.009748380955999702,1.0,0.32645040801991465,0.03372531835149618,0.0,732,0.023414281815758182,46.05177401189534,0.3671875,0.08359375,0.54921875
diagnostic_2021_2023,equal_weight,0.0,0.4154959317957714,0.1270732692708043,0.08459199801513972,0.15294973199265205,0.258272558351167,0.5922027991246749,0.9261701051987087,-0.04716441119911888,-0.37348220364282125,-0.03511891526879077,0.0,0.0,0.0,1.0,0.16651096002073232,0.0,0.0,732,0.044710185679877494,54.27571259201614,,,
diagnostic_2021_2023,equal_weight,25.0,0.4154959317957714,0.1270732692708043,0.08459199801513972,0.15294973199265205,0.258272558351167,0.5922027991246749,0.9261701051987087,-0.04716441119911888,-0.37348220364282125,-0.03511891526879077,0.0,0.0,0.0,1.0,0.16651096002073232,0.0,0.0,732,0.044710185679877494,54.27571259201614,,,
diagnostic_2021_2023,equal_weight,50.0,0.4154959317957714,0.1270732692708043,0.08459199801513972,0.15294973199265205,0.258272558351167,0.5922027991246749,0.9261701051987087,-0.04716441119911888,-0.37348220364282125,-0.03511891526879077,0.0,0.0,0.0,1.0,0.16651096002073232,0.0,0.0,732,0.044710185679877494,54.27571259201614,,,
diagnostic_2021_2023,strategy_only,0.0,0.5073403441426267,0.151732014859159,0.08459199801513972,0.17695610564265113,0.26728057792475507,0.6620612205218588,1.0282579001091894,-0.0373606163647221,-0.32268642064712927,-0.036356514765629865,0.0055186431812084035,1.3906980816645178,0.0,1.0,0.3043697407441178,0.04000000000000001,0.0,732,0.02528373208453677,55.26724514233909,,,
diagnostic_2021_2023,strategy_only,25.0,0.4921798909288315,0.14773091380409653,0.08459199801513972,0.1734793604384898,0.26729864275895876,0.6490095072982763,1.0081271380041763,-0.04086633282385457,-0.3239589479580476,-0.03637467158095402,0.0055186431812084035,1.3906980816645178,0.010099117021611377,1.0,0.3043697407441178,0.04000000000000001,0.0,732,0.02528373208453677,55.26724514233909,,,
diagnostic_2021_2023,strategy_only,50.0,0.47716979366427714,0.14374314632642293,0.08459199801513972,0.17000261523432852,0.26731837774504036,0.6359555847539653,0.987577086626745,-0.04437473000639175,-0.32522920540212064,-0.03639282839627818,0.0055186431812084035,1.3906980816645178,0.020198234043222754,1.0,0.3043697407441178,0.04000000000000001,0.0,732,0.02528373208453677,55.26724514233909,,,
diagnostic_2021_2023,strategy_risk,0.0,0.5082761622324878,0.1519781267689475,0.08459199801513972,0.17604634407444508,0.26296519955441056,0.6694663186336147,1.0264495793380866,-0.03140574445562777,-0.3431224347911572,-0.03628568470739391,0.004903668930639529,1.2357245705211615,0.0,1.0,0.31613121177204595,0.04,0.0,732,0.02496237426741574,55.77329101336908,,,
