total_return,cagr,benchmark_cagr,annual_return,annual_volatility,sharpe,sortino,certainty_equivalent,max_drawdown,daily_es95,average_one_way_turnover,annual_turnover,total_transaction_cost,optimizer_success_rate,maximum_weight,maximum_change,minimum_active_trade,n_days,period,scope,strategy,transaction_cost_bps
0.49237955804600686,0.1427724553390961,0.14007748650178153,0.2141883270511604,0.37950917168210424,0.5643824788260327,0.5363921837001819,-0.21789330712135027,-0.37655308195306736,-0.0559782528849583,0.018106513782494497,4.562841473188613,0.0342213110489146,1.0,0.2000000000000034,0.050000000000003236,0.010109161739333636,756,validation,all,elastic_net_a0005,25.0
0.4309172518567781,0.12686400497610695,0.14007748650178153,0.19981553230336546,0.3781699717733096,0.5283749298401276,0.4988346218752082,-0.22922205034971188,-0.37898345500198805,-0.05569865017293042,0.016567666505789364,4.175051959458919,0.0313128896959419,1.0,0.20000000000000007,0.050000000000000044,0.010134471132334599,756,validation,all,elastic_net_a002,25.0
0.8205986437212462,0.22106299982864885,0.14007748650178153,0.27248809564742454,0.3652465167284627,0.7460388618846211,0.7307797314386563,-0.12772695829940095,-0.33796116287148403,-0.054359294045218866,0.021502140981349387,5.418539527300045,0.04063904645475034,1.0,0.20000000000000495,0.05000000000000244,1.5896984594026642e-05,756,validation,all,xgb_shallow,25.0
1.1959474751594148,0.29979236825161504,0.14007748650178153,0.33259207551404657,0.3619321811099474,0.918934797381314,0.9169889761622133,-0.06039263565496472,-0.31588300192241725,-0.05381138007706806,0.02532134170975007,6.380978110857018,0.047857335831427636,1.0,0.20000000000000237,0.050000000000000044,0.010191517334004759,756,validation,all,xgb_medium,25.0
0.47488691057526444,0.13828996479481015,0.14007748650178153,0.21341227510971805,0.38104882552382413,0.5600654320777456,0.4948758698176672,-0.22218234718953933,-0.4065945192196345,-0.0559669505391386,0.02854001472275972,7.192083710135449,0.05394062782601587,1.0,0.2000000000000001,0.050000000000000044,2.2435863168154782e-05,756,validation,all,quantile_hgb,25.0
1.3167537750286646,0.32320345579343934,0.14007748650178153,0.3283186114575077,0.30659900410161295,1.070840436744199,1.1515012585304414,0.046309763509205015,-0.29516882620350315,-0.048216902924217056,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,756,validation,all,equal_weight,25.0
0.7266865626199654,0.19969588650509884,0.14007748650178153,0.21284505767553294,0.24028160644137933,0.8858150269086869,0.8037796540539115,0.039639306493383236,-0.23957436120078912,-0.035681136478659614,0.002773262453288922,0.6988621382288084,0.005241466036716063,1.0,0.20000000000000018,0.050000000000000044,1.5198285232058608e-05,756,validation,all,risk_only,25.0
0.6187766989290069,0.1741645968117984,0.14007748650178153,0.2347840064811315,0.3462757396215865,0.6780261497317305,0.5494577409605319,-0.12493665707029872,-0.44052697508647254,-0.045948859020805206,0.030066134506527505,7.576665895644932,0.05682499421733698,1.0,0.20000000000000143,0.05000000000000149,0.010038280154734621,756,validation,all,momentum_rule,25.0
0.7832485811403294,0.21265509474220723,0.14007748650178153,0.2223748079373505,0.23603605210208584,0.9421222137759412,0.8625876659205698,0.05523575426153479,-0.23031652574613526,-0.034956809833380204,0.0028599300225873856,0.7207023656920212,0.005405267742690159,1.0,0.20000000000000023,0.05000000000000002,0.01013593429846496,756,validation,all,xgb_medium_scaled,25.0
0.4683520753092627,0.1413881202112408,0.08459199801513972,0.1677728906242815,0.26665963807513143,0.6291649228782477,0.983436086036276,-0.04554919711079877,-0.3708794924511437,-0.03638487423221656,0.0,0.0,0.0,1.0,0.0625,0.0,0.0,732,locked_test,all,equal_weight,25.0
0.34324571463396936,0.10692728863046175,0.08459199801513972,0.11519758688326544,0.16488483428024744,0.6986548361838373,1.0112378224051408,0.03363656115639145,-0.24044160384880586,-0.023050846383361204,0.0032090993147386774,0.8086930273141467,0.0058726517459717804,1.0,0.20000000000000023,0.05000000000000003,0.010140810035363872,732,locked_test,all,risk_only,25.0
0.19967977617553223,0.06468029098412131,0.08459199801513972,0.08345150356400213,0.2037990434967344,0.40947936816660935,0.6045698649328125,-0.041150646826549384,-0.3605690929366079,-0.02902737295799484,0.02949152699986033,7.431864803964803,0.05396949440974441,1.0,0.2000000000000047,0.05000000000000354,0.010134507965258313,732,locked_test,all,momentum_rule,25.0
0.39271737510983296,0.12079608277874843,0.08459199801513972,0.12776500775451433,0.16555763135136473,0.7717252699959043,1.1168180198293167,0.04553701985849118,-0.24338741048366608,-0.02312757543922554,0.003767813093985711,0.9494888996843992,0.006895097961993852,1.0,0.20000000000000467,0.05000000000000002,0.011211516019882017,732,locked_test,all,xgb_medium_scaled,25.0
0.7911560687068515,0.2673205887832837,0.2073979330718947,0.25034053430602504,0.1637286539145248,1.5289964726437948,2.0467281161044393,0.16991931796803833,-0.1766309885361883,-0.023394772536908994,0.0,0.0,0.0,1.0,0.02564102564102564,0.0,0.0,620,external,all,equal_weight,25.0
0.3099086582262802,0.11597071658222902,0.2073979330718947,0.11318731182063183,0.08295837746772226,1.3643867596695842,1.6841287496209474,0.09254103464440055,-0.09946760522092268,-0.012827450175217395,0.0009594635683531055,0.24178481922498254,0.0014871685309473135,1.0,0.20000000000000015,0.05000000000000028,0.01213769947815463,620,external,all,risk_only,25.0
1.167896428030501,0.36956737650408056,0.2073979330718947,0.33477518432473286,0.20046867301663351,1.6699625896009973,2.3070223623466144,0.21421211774158308,-0.20159474573902658,-0.0285965154727695,0.04548762336685018,11.462881088446244,0.07050581621861778,1.0,0.20000000000000007,0.050000000000000044,1.2247735195127973e-05,620,external,all,momentum_rule,25.0
0.2917534279856042,0.10965797051905635,0.2073979330718947,0.10759824732269814,0.08400580815217559,1.2808429522847409,1.609519593816408,0.08642731991279776,-0.09840581280521998,-0.012784324492529094,0.0010364510591483658,0.26118566690538814,0.0016064991416799663,1.0,0.20000000000000034,0.05000000000000001,0.010323553014863146,620,external,all,xgb_medium_scaled,25.0
0.6795323387689776,0.2346054119094405,0.2073979330718947,0.2198904169820905,0.13478944597243647,1.6313622731786923,2.261856667243979,0.16538583274542137,-0.11838269864734063,-0.01893686278659428,0.0016866170336558967,0.4250274924812859,0.00261425640216664,1.0,0.20000000000000015,0.050000000000000024,0.010536626704779242,620,external,original_research,risk_only,25.0
0.6859856025304778,0.23653131121447202,0.2073979330718947,0.22163409719683708,0.136178331585089,1.6275283638524558,2.2844595962585466,0.16600048321694175,-0.12009469190409428,-0.01879624165720296,0.0016851803674567784,0.42466545259910815,0.0026120295695580067,1.0,0.20000000000000004,0.05000000000000003,0.010102816222870119,620,external,original_research,xgb_medium_scaled,25.0
0.24390679527994963,0.09276473320628931,0.2073979330718947,0.09150267203361721,0.0744833846139927,1.2284977717893235,1.4319249078534002,0.07485934828294932,-0.09611516095104522,-0.011550336084625766,0.000731328528625746,0.184294789213688,0.0011335592193699065,1.0,0.2000000000000001,0.05000000000000003,0.01633705679704331,620,external,unseen,risk_only,25.0
0.244645736274282,0.09302853691342361,0.2073979330718947,0.09175140222411222,0.07458817088849765,1.2301066124985423,1.4478179600804226,0.07506121651463704,-0.09436535695604542,-0.011546021447022681,0.0007627893414573599,0.1922229140472547,0.001182323479258908,1.0,0.2000000000000003,0.05000000000000002,0.014395502224883394,620,external,unseen,xgb_medium_scaled,25.0
0.6462244014304168,0.1807637498931598,0.14007748650178153,0.19997591248178784,0.24868962670406033,0.8041184312032378,0.6889923502493744,0.014436321191173218,-0.2731769804441493,-0.035759541777960015,0.007050771335880345,1.776794376641847,0.005330383129925542,1.0,0.200000000000002,0.050000000000000044,0.010330176810088462,756,validation,all,risk_only,10.0
0.6545701907896904,0.18275574228984826,0.14007748650178153,0.20099612522063418,0.24680992845014926,0.814376173935934,0.7021018233174334,0.01825070287593078,-0.267090482282765,-0.03573768843390496,0.007663830095159269,1.931285183980136,0.005793855551940407,1.0,0.20000000000000012,0.05000000000000003,0.010280172157066558,756,validation,all,xgb_medium_scaled,10.0
0.693909015536603,0.19205609645103894,0.14007748650178153,0.20702723973469314,0.24227626973078942,0.854508945365289,0.7742533706038217,0.03093386711069443,-0.24291062148152776,-0.035753204997248704,0.0014122694634974271,0.35589190480135163,0.005338378572020274,1.0,0.20000000000000046,0.05000000000000002,0.01026762786647202,756,validation,all,risk_only,50.0
0.7682619247292022,0.2092484290043266,0.14007748650178153,0.21979045938227154,0.23744740111166424,0.9256385134276994,0.8695758928206132,0.05064665449822084,-0.22564591656910016,-0.03529069343753398,0.0013745274275029204,0.34638091173073593,0.005195713675961039,1.0,0.20000000000000467,0.0500000000000002,0.010407179994794125,756,validation,all,xgb_medium_scaled,50.0
0.36964149923671563,0.11436793493221864,0.08459199801513972,0.12144273138918246,0.1621063124371694,0.7491548574720205,1.0913559299663558,0.04260736179325092,-0.23352782916914183,-0.022593583127574174,0.007471521762963805,1.882823484266879,0.005469153930489506,1.0,0.20000000000000606,0.05000000000000046,0.00751686441299008,732,locked_test,all,risk_only,10.0
0.4266608990125249,0.13012587503119066,0.08459199801513972,0.13588693790875728,0.16454196584884234,0.8258497290204421,1.2098477182893985,0.05466476233255249,-0.24047974184830145,-0.022851100938547263,0.008116752001195856,2.0454215043013555,0.005941462464875365,1.0,0.20000000000000287,0.05000000000000003,0.010615521491741125,732,locked_test,all,xgb_medium_scaled,10.0
0.2865011674662139,0.0906007732605949,0.08459199801513972,0.10055111597477469,0.16618129128252973,0.6050688088818901,0.8740307001766122,0.017702451257787702,-0.2312443954591893,-0.02335115504884616,0.0013306600519880283,0.33532633310098314,0.004870215790276184,1.0,0.2000000000000002,0.05000000000000002,0.011114887394498122,732,locked_test,all,risk_only,50.0
0.30341422194987633,0.09551555959817426,0.08459199801513972,0.1053291151353165,0.16788060513177136,0.6274049051267268,0.9153497564493047,0.020777422397087283,-0.24165933197555356,-0.023374711060366374,0.0014275288276262793,0.3597372645618224,0.005224755509112182,1.0,0.20000000000000154,0.05000000000000002,0.011064606753522353,732,locked_test,all,xgb_medium_scaled,50.0
0.30986350982874944,0.11595508267897903,0.2073979330718947,0.11195155394157642,0.06663197276246492,1.6801476723594908,2.1972296673637843,0.09863209455892281,-0.06820800952543093,-0.009719054054840037,0.0016107540860049654,0.40591002967325124,0.0009986675333230786,1.0,0.20000000000000204,0.05000000000000002,0.010747574265630847,620,external,all,risk_only,10.0
0.3000432451181556,0.11254690842112902,0.2073979330718947,0.10902136062545585,0.06855259022831547,1.5903317476751573,2.0385263515390952,0.09492298774442184,-0.07171337013907497,-0.010135618992597168,0.0015811165623373466,0.39844137370901134,0.000980292268649155,1.0,0.20000000000000034,0.05000000000000003,0.011045442458879728,620,external,all,xgb_medium_scaled,10.0
0.3306322624390059,0.12311336188797584,0.2073979330718947,0.12113453696505384,0.10005725949971639,1.2106521562825454,1.445174200653319,0.0911001714292731,-0.1281702583889217,-0.015675317726744603,0.0007966147819088647,0.2007469250410339,0.0024695058239174797,1.0,0.2000000000000005,0.05000000000000002,1.0488867581950195e-05,620,external,all,risk_only,50.0
0.313989104346478,0.1173823673563914,0.2073979330718947,0.11611308924605625,0.10107027152993517,1.1488352360037508,1.4185453594808126,0.08546748988465178,-0.1192512281359619,-0.0156574619692495,0.0007512457016554595,0.1893139168171758,0.002328861675131925,1.0,0.19529944656412482,0.05000000000000001,0.012177697332663025,620,external,all,xgb_medium_scaled,50.0
