horizon,candidate,reference,symbol,n,reference_qlike,candidate_qlike,relative_gain,component
20,har_news_linear_deployable,current_frozen_har,INTU,610,0.5348157670808877,0.524237185288386,0.019779861484341313,model_20d
20,har_news_linear_deployable,current_frozen_har,MSFT,1488,0.3587308611151693,0.3789783757573386,-0.056442076322139864,model_20d
20,har_news_linear_deployable,current_frozen_har,MU,1488,0.18807911059801286,0.189580364915014,-0.007982036453850695,model_20d
20,har_news_linear_deployable,current_frozen_har,NFLX,601,0.2722820517714562,0.27142357884821394,0.0031528810571870925,model_20d
20,har_news_linear_deployable,current_frozen_har,NVDA,1488,0.3425612533829953,0.33838063795206297,0.012203993854080957,model_20d
20,har_news_linear_deployable,current_frozen_har,PEP,1488,0.5195709486274196,0.5320103686847506,-0.023941715929639517,model_20d
20,har_news_linear_deployable,current_frozen_har,QCOM,1488,0.4063158419020461,0.40931848671758725,-0.007389927996617482,model_20d
20,har_news_linear_deployable,current_frozen_har,SLV,601,0.41570393952620743,0.4095442430918928,0.014817507963323748,model_20d
20,har_news_linear_deployable,current_frozen_har,TSLA,1488,0.5946772302721061,0.6767107348856368,-0.1379462680553529,model_20d
20,har_news_linear_deployable,current_frozen_har,TXN,1488,0.29684576385599193,0.3014196261871116,-0.015408211563155666,model_20d
