horizon,test_year,model,qlike,rmse_log,r2_log,mz_intercept,mz_slope,mean_realized_to_forecast,n
5,2018,naive_rv22,0.693498456174111,0.5721115440358726,0.3108831889636876,-0.9906213498763945,0.7857282427192354,1.03718307240752,5271
5,2018,ewma,0.6017343338056433,0.5516954218841451,0.35918866850768594,-0.578331201343026,0.8916398496661903,1.0011197624269992,5271
5,2018,har,0.6339565645440866,0.521776009091916,0.42680863933361024,0.27963252295014895,1.0759568344047161,1.1011652126415472,5271
5,2018,ridge_har,0.6339565641684763,0.5217760086192625,0.426808640372067,0.27963260668600987,1.075956854582325,1.1011652123898366,5271
5,2018,linear_gamma,0.49708049712817254,0.537845047376284,0.3909600650719428,0.3626203669410311,1.1344325388546757,0.949561707565879,5271
5,2018,xgb_price,0.5249074570775392,0.5444792371249295,0.3758426786466901,0.4819316950274814,1.1632324756767898,0.9574406763283593,5271
5,2018,current_frozen_har,0.6030799317181725,0.5228813336581446,0.42437758253163005,0.12188917323349475,1.0447316464898035,1.0713241717194488,5271
5,2018,har_news_linear_research,0.584960272880914,0.5324724773756906,0.4030667751314986,0.007438164110818301,1.0259389924880888,1.0357440068667316,5271
5,2018,har_news_xgb_research,0.6340990243987757,0.5217751283025899,0.4268105744950488,0.2836419905025731,1.0768730363959682,1.1013714952372504,5271
5,2018,har_news_linear_deployable,0.584960272880914,0.5324724773756906,0.4030667751314986,0.007438164110818301,1.0259389924880888,1.0357440068667316,5271
5,2018,har_news_xgb_deployable,0.6340990243987757,0.5217751283025899,0.4268105744950488,0.2836419905025731,1.0768730363959682,1.1013714952372504,5271
5,2019,naive_rv22,0.7103042265696341,0.5954557700125238,0.10993747126954423,-1.5575828572986719,0.6755052047648119,0.9512797569321659,5292
5,2019,ewma,0.6199953105703332,0.5945758695904395,0.1125660048891246,-1.2367080694358168,0.7620881211036522,0.8909940522608187,5292
5,2019,har,0.5531580225810142,0.5349193311153153,0.281712865620833,-0.32575674177382485,0.9604279659762122,0.9702619350375423,5292
5,2019,ridge_har,0.5531580235617328,0.5349193293395206,0.28171287038989057,-0.32575665984264046,0.9604279850631326,0.9702619363591404,5292
5,2019,linear_gamma,0.5043177441311286,0.5723827303423418,0.17757832855857636,-0.3104623270872591,0.9920507944005527,0.8571140920163904,5292
5,2019,xgb_price,0.5193459443455678,0.5906307196667787,0.12430359855928341,-0.3067483889180647,1.001518480382638,0.8285694690340458,5292
5,2019,current_frozen_har,0.5510206934166927,0.5359408005537212,0.27896699778916767,-0.3329011035869774,0.9594553732616848,0.9671541697719978,5292
5,2019,har_news_linear_research,0.5300126219460491,0.5696535024863145,0.1854025508388656,-0.5387007434328509,0.9297557926825226,0.8869696608143514,5292
5,2019,har_news_xgb_research,0.5530911737690385,0.5348558285371183,0.2818833974180699,-0.32410876447284415,0.960805059448256,0.9703037018973997,5292
5,2019,har_news_linear_deployable,0.5300126219460491,0.5696535024863145,0.1854025508388656,-0.5387007434328509,0.9297557926825226,0.8869696608143514,5292
5,2019,har_news_xgb_deployable,0.5530911737690385,0.5348558285371183,0.2818833974180699,-0.32410876447284415,0.960805059448256,0.9703037018973997,5292
5,2020,naive_rv22,1.9683526398302673,0.683810522641922,0.16011653855962282,-1.5183618170733884,0.6369358560987011,1.0956709752875375,4512
5,2020,ewma,1.6987198128686625,0.6984020174263299,0.12389039670767632,-1.4676370734797473,0.664661419698396,1.008383420407889,4512
5,2020,har,1.9025333796253956,0.6015814063981708,0.3499656906054067,-0.18335647890812318,0.9586658298282527,1.2022723249301808,4512
5,2020,ridge_har,1.902533386287059,0.6015814031343432,0.34996569765881613,-0.18335640296079517,0.9586658484745463,1.2022723271905882,4512
5,2020,linear_gamma,1.6551899713560412,0.5838730863855934,0.3876716259891725,0.0915130470056278,1.0409012072163346,1.1346060652250523,4512
5,2020,xgb_price,1.6086232891800076,0.6017226948339511,0.34966031841496237,0.2695792889553247,1.1009776154580893,1.0918010378905458,4512
5,2020,current_frozen_har,1.8943490970084977,0.6066142628885792,0.3390437630410207,-0.2654175956076589,0.9404758359166493,1.1914443997183723,4512
5,2020,har_news_linear_research,1.7623200234724181,0.6055011617777794,0.3414671684023224,-0.28180831350295854,0.9473570450001687,1.1359071769559106,4512
5,2020,har_news_xgb_research,1.9076457457708513,0.6015431648922391,0.3500483311276519,-0.13678112595139819,0.9696730778097388,1.206593032448846,4512
5,2020,har_news_linear_deployable,1.7623200234724181,0.6055011617777794,0.3414671684023224,-0.28180831350295854,0.9473570450001687,1.1359071769559106,4512
5,2020,har_news_xgb_deployable,1.9076457457708513,0.6015431648922391,0.3500483311276519,-0.13678112595139819,0.9696730778097388,1.206593032448846,4512
5,2021,naive_rv22,0.5303674348829945,0.530376762509426,0.2921100771484605,-0.9534099638851348,0.7980218340123776,1.0063942098310816,4032
5,2021,ewma,0.4760353134887064,0.5161602005236999,0.32955094518103156,-0.5938382751431838,0.8905141790472187,0.9727281764543022,4032
5,2021,har,0.450986156922743,0.49019096738883156,0.3953175518231722,0.23229013005389304,1.0808896338958114,1.006977480288275,4032
5,2021,ridge_har,0.4509861575989583,0.49019096760392883,0.3953175512924991,0.2322901696676412,1.0808896433601651,1.006977480806678,4032
5,2021,linear_gamma,0.4429553416554026,0.5608867449386586,0.20832467781918196,0.4573569764541768,1.186996253485988,0.8426651959973614,4032
5,2021,xgb_price,0.45213377298978186,0.5893830754646471,0.12583769491740204,0.026649761098504948,1.0969871519254015,0.783469238402935,4032
5,2021,current_frozen_har,0.4688806668319276,0.48690025501006096,0.40340891678973323,0.385321967356897,1.1120689560304355,1.029747099477755,4032
5,2021,har_news_linear_research,0.4356738094423907,0.5049395346491083,0.3583835279774552,0.065091789519413,1.051918439041886,0.9637757862117798,4032
5,2021,har_news_xgb_research,0.4509874936793269,0.49016791652078395,0.39537441997672096,0.2360223122977594,1.0817573878684625,1.00710155034883,4032
5,2021,har_news_linear_deployable,0.4356738094423907,0.5049395346491083,0.3583835279774552,0.065091789519413,1.051918439041886,0.9637757862117798,4032
5,2021,har_news_xgb_deployable,0.4509874936793269,0.49016791652078395,0.39537441997672096,0.2360223122977594,1.0817573878684625,1.00710155034883,4032
