horizon,model,mean_fold_qlike,mean_relative_gain_vs_har,median_relative_gain_vs_har,worst_year_gain_vs_har,positive_years_vs_har,folds,mean_rmse_log,mean_r2_log
5,linear_gamma,0.648589132368929,0.07794672282703992,0.056030825950269605,-0.008103584773244974,5,6,0.5548879217863781,0.25365018008726664
5,xgb_price,0.6495441772318756,0.06790079310783072,0.06894650255758607,-0.05444063605010665,4,6,0.5676229342263581,0.21859194494927106
5,har_news_linear_deployable,0.6813943734087603,0.047950558372248896,0.05646047762478962,-0.010155386329381176,5,6,0.5332955051236222,0.31588366001528584
5,har_news_linear_research,0.6813943734087603,0.047950558372248896,0.05646047762478962,-0.010155386329381176,5,6,0.5332955051236222,0.31588366001528584
5,ewma,0.7046974194480162,-0.017279963328350603,-0.04263139792207418,-0.1208285612083483,2,6,0.5573802899986542,0.2579581171447507
5,current_frozen_har,0.7228844399377886,-0.007276301681275806,0.00016585108824236335,-0.057317320521095304,3,6,0.509435206683898,0.3802134673251114
5,har,0.7229888968417404,0.0,0.0,0.0,0,6,0.5103854390279975,0.3772926263921789
5,ridge_har,0.7229888986275496,-2.2638400486355386e-09,-1.636179766204766e-09,-6.74319691829514e-09,1,6,0.5103854381710656,0.37729262838983063
5,har_news_xgb_deployable,0.7238702834730347,-0.0005103474332162631,-0.00011383977804769202,-0.0026871361103069586,1,6,0.5103644375426765,0.3773447609291662
5,har_news_xgb_research,0.7238702834730347,-0.0005103474332162631,-0.00011383977804769202,-0.0026871361103069586,1,6,0.5103644375426765,0.3773447609291662
5,naive_rv22,0.8032613536218043,-0.147701218880541,-0.1487921796029751,-0.2840891708582327,0,6,0.5644554714874057,0.23916556398441033
20,current_frozen_har,0.4773198331206703,0.04633899181163952,0.024671937939678187,-0.00837874109627964,4,6,0.36113058762927014,0.4896845123808185
20,har_news_linear_deployable,0.49549959327717946,0.016828438714908692,0.026815248027097907,-0.10822368200976637,4,6,0.36736815696218866,0.473150477196365
20,har_news_linear_research,0.49549959327717946,0.016828438714908692,0.026815248027097907,-0.10822368200976637,4,6,0.36736815696218866,0.473150477196365
20,ridge_har,0.5198962532157441,1.2608308896536481e-05,4.528932012803798e-06,-9.324093357139293e-05,4,6,0.3576704296972486,0.500695432377784
20,har,0.5199426499063009,0.0,0.0,0.0,0,6,0.3576878725705602,0.500641619253386
20,har_news_xgb_deployable,0.5204133992990088,-0.0012591587278882846,-5.893666367305085e-06,-0.007574426449718359,3,6,0.35765130669265294,0.5007937886329542
20,har_news_xgb_research,0.5204133992990088,-0.0012591587278882846,-5.893666367305085e-06,-0.007574426449718359,3,6,0.35765130669265294,0.5007937886329542
20,linear_gamma,0.5509070906409377,-0.039871010009411616,-0.10162098851603225,-0.24058674581269954,2,6,0.37476262889564954,0.4504692589896346
20,xgb_price,0.5668248715836128,-0.10890404104918712,-0.06135568472840418,-0.40482226793611237,2,6,0.39525041869110117,0.3855903111861254
20,ewma,0.5714153254272271,-0.2235473430266812,-0.2293536604757706,-0.3394907936433888,0,6,0.3908492689538196,0.40207866163081984
20,naive_rv22,0.737955479467889,-0.5557118421937313,-0.5732172034844549,-0.7243406041044389,0,6,0.4191790730764055,0.3151890702997277
