horizon,volatility_regime,model,n,symbols,qlike,relative_gain_vs_current_har
5,low,naive_rv22,9009,21,0.7138236904989901,-0.13457078469586092
5,low,ewma,9009,21,0.7556532458895033,-0.20105581750517862
5,low,har,9009,21,0.6287919566901101,0.0005809652890003469
5,low,ridge_har,9009,21,0.6287919518010439,0.0005809730598152137
5,low,linear_gamma,9009,21,0.7929726929406087,-0.2603723614764075
5,low,xgb_price,9009,21,0.8424332215515775,-0.3389862706314699
5,low,current_frozen_har,9009,21,0.6291574753446004,0.0
5,low,har_news_linear_research,9009,21,0.7267374641717999,-0.1550962877358378
5,low,har_news_xgb_research,9009,21,0.6286388460965057,0.0008243234300136026
5,low,har_news_linear_deployable,9009,21,0.7267374641717999,-0.1550962877358378
5,low,har_news_xgb_deployable,9009,21,0.6286388460965057,0.0008243234300136026
5,medium,naive_rv22,9009,21,0.3952457122181432,-0.5449286891549778
5,medium,ewma,9009,21,0.3377024657230984,-0.3200047756774657
5,medium,har,9009,21,0.2575318234056312,-0.006635341132207842
5,medium,ridge_har,9009,21,0.25753181583614626,-0.006635311544753594
5,medium,linear_gamma,9009,21,0.2346138681973298,0.08294591276519567
5,medium,xgb_price,9009,21,0.257670697151899,-0.0071781681083070885
5,medium,current_frozen_har,9009,21,0.25583427571296435,0.0
5,medium,har_news_linear_research,9009,21,0.26134912340243555,-0.02155632850251319
5,medium,har_news_xgb_research,9009,21,0.2572710711004961,-0.005616117635245035
5,medium,har_news_linear_deployable,9009,21,0.26134912340243555,-0.02155632850251319
5,medium,har_news_xgb_deployable,9009,21,0.2572710711004961,-0.005616117635245035
5,high,naive_rv22,9009,21,2.160092854904673,-0.0808022041242955
5,high,ewma,9009,21,1.7611144229204898,0.11882660706659678
5,high,har,9009,21,2.0024189688414165,-0.0019100939064080375
5,high,ridge_har,9009,21,2.0024189673822823,-0.00191009317633044
5,high,linear_gamma,9009,21,1.4258774246761954,0.2865623994348539
5,high,xgb_price,9009,21,1.353879642340831,0.3225864812994074
5,high,current_frozen_har,9009,21,1.998601452385876,0.0
5,high,har_news_linear_research,9009,21,1.6807678386216802,0.15902801100478267
5,high,har_news_xgb_research,9009,21,2.004403484287833,-0.0029030459749894762
5,high,har_news_linear_deployable,9009,21,1.6807678386216802,0.15902801100478267
5,high,har_news_xgb_deployable,9009,21,2.004403484287833,-0.0029030459749894762
20,low,naive_rv22,8904,21,0.3056459424234972,0.014935066787160162
20,low,ewma,8904,21,0.2866355238417504,0.0762036593360822
20,low,har,8904,21,0.2750505071212646,0.11354095762163484
20,low,ridge_har,8904,21,0.2750117611648713,0.11366583179023726
20,low,linear_gamma,8904,21,0.3149879438309633,-0.015173227533884927
20,low,xgb_price,8904,21,0.37151210131718193,-0.19734468048229314
20,low,current_frozen_har,8904,21,0.3102799948695943,0.0
20,low,har_news_linear_research,8904,21,0.31643384034534383,-0.01983320090725122
20,low,har_news_xgb_research,8904,21,0.274152942865864,0.11643371342362535
20,low,har_news_linear_deployable,8904,21,0.31643384034534383,-0.01983320090725122
20,low,har_news_xgb_deployable,8904,21,0.274152942865864,0.11643371342362535
20,medium,naive_rv22,8904,21,0.5681683666757531,-1.353976418680916
20,medium,ewma,8904,21,0.3892365699987989,-0.612644703235144
20,medium,har,8904,21,0.2556087544016804,-0.05901175700853253
20,medium,ridge_har,8904,21,0.2554989316491611,-0.05855675073780748
20,medium,linear_gamma,8904,21,0.2639534951452462,-0.09358482387124632
20,medium,xgb_price,8904,21,0.2826424431386774,-0.1710149404472324
20,medium,current_frozen_har,8904,21,0.24136536040328488,0.0
20,medium,har_news_linear_research,8904,21,0.24175232580929248,-0.0016032350514632468
20,medium,har_news_xgb_research,8904,21,0.2551580874424586,-0.05714460026960029
20,medium,har_news_linear_deployable,8904,21,0.24175232580929248,-0.0016032350514632468
20,medium,har_news_xgb_deployable,8904,21,0.2551580874424586,-0.05714460026960029
20,high,naive_rv22,8904,21,3.1325660451973,-0.5088495328047947
20,high,ewma,8904,21,2.6551194114112766,-0.2788798785554491
20,high,har,8904,21,2.323616356521408,-0.1192062364750833
20,high,ridge_har,8904,21,2.3229802510589725,-0.11889984630933353
20,high,linear_gamma,8904,21,2.286858684518169,-0.10150132764670906
20,high,xgb_price,8904,21,2.3476985766955476,-0.13080581526588397
20,high,current_frozen_har,8904,21,2.0761288498888186,0.0
20,high,har_news_linear_research,8904,21,2.0994743661901163,-0.011244733823985862
20,high,har_news_xgb_research,8904,21,2.325061055756902,-0.11990209850482753
20,high,har_news_linear_deployable,8904,21,2.0994743661901163,-0.011244733823985862
20,high,har_news_xgb_deployable,8904,21,2.325061055756902,-0.11990209850482753
