outer_year,horizon,stage,config_id,variant,score,worst_score,alpha,iterations,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,reg_alpha,gamma,blend_weight,scale
2018,5,linear_full_inner,ridge_har:0.001,ridge_har,0.7029741247242132,0.7042625796260389,0.001,,,,,,,,,,,
2018,5,linear_full_inner,ridge_har:0.01,ridge_har,0.7029741568137557,0.7042626548865342,0.01,,,,,,,,,,,
2018,5,linear_full_inner,ridge_har:0.1,ridge_har,0.7029744777188895,0.7042634075013738,0.1,,,,,,,,,,,
2018,5,linear_full_inner,ridge_har:1.0,ridge_har,0.7029776877397986,0.7042709346362287,1.0,,,,,,,,,,,
2018,5,linear_full_inner,ridge_har:10.0,ridge_har,0.7030098835918153,0.7043463025615824,10.0,,,,,,,,,,,
2018,5,linear_full_inner,linear_gamma:0.001,linear_gamma,0.6557666103357735,0.683512911663058,0.001,,,,,,,,,,,
2018,5,linear_full_inner,linear_gamma:0.01,linear_gamma,0.6531764682390422,0.6810386919744076,0.01,,,,,,,,,,,
2018,5,linear_full_inner,linear_gamma:0.1,linear_gamma,0.6460266351687998,0.6726679491080689,0.1,,,,,,,,,,,
2018,5,linear_full_inner,linear_gamma:1.0,linear_gamma,0.6637607029880059,0.6810332650627151,1.0,,,,,,,,,,,
2018,5,linear_full_inner,linear_gamma:10.0,linear_gamma,0.7882762875876947,0.7958623668826703,10.0,,,,,,,,,,,
2018,5,coarse,0,direct,0.6722723382721354,,,454.0,2.0,0.016810683468738295,55.119162244389045,0.8186567693229744,0.95374768677931,0.11235382553916115,0.11872960983376865,3.043918974129779,,
2018,5,coarse,1,direct,0.6818659623466483,,,40.0,3.0,0.14038131611413024,7.835976473366356,0.65400434553277,0.6303836587705103,24.771214655172628,0.0,2.486859469740904,,
2018,5,coarse,2,direct,0.6699639598919921,,,164.0,2.0,0.09305619122136746,1.632326106680591,0.889274847284669,0.6799502350332256,68.88701686179753,0.0,2.3513001418101376,,
2018,5,coarse,3,direct,0.6957767611266118,,,103.0,4.0,0.04260084045026215,2.9950184511931326,0.9557323085481404,0.7221366332723016,0.6148489658130238,0.0005609060902787453,0.921253966934894,,
2018,5,coarse,4,direct,0.6775459616574089,,,131.0,3.0,0.1484553508100239,2.1218655327116833,0.651043069410163,0.8776753763395864,21.1577902801402,0.011931237244362097,0.1939298133819678,,
2018,5,coarse,5,direct,0.6696269059210157,,,459.0,2.0,0.022690762544950487,23.585366860503754,0.7281166075620962,0.8007411144145034,1.0045234290501277,0.0,4.593158001104692,,
2018,5,coarse,6,direct,0.6705066882956459,,,247.0,2.0,0.024937877092109085,1.2195290039492932,0.8006366675284557,0.850147927064546,12.943398074700601,0.4648579107455426,1.8846037450174191,,
2018,5,coarse,7,direct,0.6744414690060273,,,118.0,3.0,0.05847891521213486,16.117729623062417,0.811820190241648,0.9545687065990864,28.33284840449706,0.03456078869009234,2.4839834971511094,,
2018,5,coarse,8,direct,0.6719305459294643,,,351.0,2.0,0.01845560216114069,28.321043386094992,0.909043670332336,0.6353745876684644,0.20556129619813737,0.0,0.11544561207638582,,
2018,5,coarse,9,direct,0.6754376054459971,,,193.0,3.0,0.02785801629701712,2.4187030192248744,0.6078214079461276,0.9635847476072645,1.248012294015271,0.0011598597583676734,0.660701337482878,,
2018,5,coarse,10,direct,0.6752470326749721,,,169.0,3.0,0.03347083163676745,4.2622413983596195,0.677952880628176,0.5213058839870837,6.461771999719673,0.872566136168424,4.86684934091484,,
2018,5,coarse,11,direct,0.6844119445427855,,,53.0,3.0,0.10112400116568608,1.7878262636323983,0.6043047438890682,0.779923519761126,0.4077513984136103,6.9378664448940155,1.1559040482212857,,
2018,5,coarse,12,direct,0.6876738457271818,,,98.0,5.0,0.04549563568893397,12.532624363309665,0.9819923104368238,0.540059473534411,1.463062809139209,0.0037866963500516014,3.1907591634567694,,
2018,5,coarse,13,direct,0.6883124636966557,,,165.0,4.0,0.031402925854985005,1.1560939832245865,0.9998943748262439,0.5182285975902221,44.220247540384115,0.0,4.226699967961472,,
2018,5,coarse,14,direct,0.6826176111476158,,,38.0,3.0,0.1364459214367544,1.6952065390452866,0.6655404783866105,0.783924794356835,0.9571032942155548,0.9483027095641382,2.446285197725712,,
2018,5,coarse,15,direct,0.6677820088492761,,,156.0,2.0,0.09330680111548337,44.90505078181925,0.7874429478499592,0.5367859076238702,2.5094164650761073,0.0,3.2603460446595793,,
2018,5,coarse,16,direct,0.688695482295987,,,137.0,5.0,0.028405814500156574,6.292310786723709,0.959703615324008,0.5473701119575725,41.676737391146595,1.2506458254395292,1.7845081175687216,,
2018,5,coarse,17,direct,0.6871932197743853,,,39.0,5.0,0.1471502221564383,59.896190402270065,0.6531652916936086,0.5503439167464454,0.1408529092458632,0.00040581736859182605,2.5522651615272314,,
2018,5,coarse,18,direct,0.6763784087238236,,,331.0,3.0,0.01311953596835786,2.5206656147567696,0.8740178623217499,0.9091082355277562,0.4787159828613117,0.0,4.498448849222058,,
2018,5,coarse,19,direct,0.685846288813505,,,71.0,4.0,0.05804048341805567,1.0455826694592603,0.8539665799628785,0.6389785287274065,3.0190600478215597,0.0018415032987270136,0.02508364218922088,,
2018,5,coarse,20,direct,0.6950728478787543,,,65.0,6.0,0.04841363977926772,8.459952771194493,0.9572739746639483,0.7637627832499377,2.460030717171174,3.4883455468391005,0.6994975263107589,,
2018,5,coarse,21,direct,0.6722012706990951,,,137.0,2.0,0.04743554958231196,32.823645594889136,0.6664128848502963,0.7388530539826339,34.72080746299189,0.0007563379321334618,3.85766417027033,,
2018,5,coarse,22,direct,0.6912080914536893,,,72.0,5.0,0.07272169724137856,1.7540005792976638,0.9094442975469155,0.5006213304687586,64.19309797735394,0.30131892607316274,3.6495771273875977,,
2018,5,coarse,23,direct,0.6732933638043888,,,102.0,2.0,0.1063614071463956,1.812508559407195,0.6290765614014403,0.6490822790866912,38.95413636138779,0.0007396274238340902,2.1540501691961476,,
2018,5,coarse,24,direct,0.6652324268473956,,,151.0,2.0,0.07407251473176883,6.412689880745559,0.8138303810314409,0.8022635343080042,5.856523716008245,0.18982367710946238,4.743320221532144,,
2018,5,coarse,25,direct,0.6816784985428685,,,191.0,4.0,0.020769042367594696,13.791668974474772,0.6598717759568685,0.5148519648975334,1.4829557124512165,0.00034478016824045953,2.1242383646847385,,
2018,5,coarse,26,direct,0.6882253421937496,,,84.0,4.0,0.04600131513205375,12.723331848536958,0.8611815670300639,0.8341507642881436,22.17471561041375,0.024530503743838028,1.2848669778866513,,
2018,5,coarse,27,direct,0.6883052978069095,,,154.0,4.0,0.027213001572269833,2.376166415606863,0.7640689249277547,0.6874730132059221,0.6008412009646449,0.0,2.8836160282795467,,
2018,5,coarse,28,direct,0.6840050791484389,,,314.0,4.0,0.017237652957384067,1.102097366386189,0.8986403921826964,0.5353665909436108,6.736505225156358,0.006818370458044081,0.1087574953532483,,
2018,5,coarse,29,direct,0.6703984800183244,,,58.0,2.0,0.1454726579694726,6.529536820413327,0.8476627047665758,0.5393197030677156,0.8689238985414293,0.5739232174600256,2.2496366103413674,,
2018,5,coarse,30,direct,0.7143098413776189,,,27.0,5.0,0.11008351078396893,1.0768716638910665,0.8134311224695298,0.7218470211206919,1.2466501430464916,0.0023165321735811057,0.3457760417308503,,
2018,5,coarse,31,direct,0.711351357881402,,,18.0,6.0,0.12450295713056359,5.964863382464574,0.7775213642143721,0.5943737290859757,0.9495459619816234,0.0,1.6645677482257408,,
2018,5,coarse,32,direct,0.683812390244625,,,49.0,4.0,0.09555747254524866,3.339589753483531,0.7888214221636962,0.731867428588183,12.396957218981017,0.025773309119445625,1.3893599838308734,,
2018,5,coarse,33,direct,0.684332541401246,,,138.0,5.0,0.03307612457460172,15.95035773208056,0.805292781719349,0.7101664668933132,50.284918248123326,0.0,4.790028223872382,,
2018,5,coarse,34,direct,0.6791776382378414,,,301.0,5.0,0.012747208805712536,34.067256820065694,0.7264679854027407,0.5122807884110472,16.001361165455027,1.0087960018787985,3.339515105864064,,
2018,5,coarse,35,direct,0.6797217817162918,,,43.0,3.0,0.12203185705919098,6.884283992482084,0.883825156769638,0.8230324517913344,0.12924694165793071,0.000370496362002457,3.259010384791284,,
2018,5,coarse,36,direct,0.6716120336057583,,,533.0,2.0,0.013332615007599878,31.92495030229587,0.9001954743288576,0.6278072495789468,31.721757868222674,0.12143034361552162,2.2495024288283205,,
2018,5,coarse,37,direct,0.6833466884481036,,,96.0,5.0,0.03823635867304879,2.9192178964337057,0.7056131384952877,0.5615956822692185,2.478767876020354,3.873044312933045,2.2357171978782304,,
2018,5,coarse,38,direct,0.6834543782141314,,,58.0,4.0,0.06672705951703976,2.70672265423012,0.8053193000005714,0.7432793676424367,54.50993758434763,0.1763194393573364,0.17809672922888653,,
2018,5,coarse,39,direct,0.6927926256142666,,,31.0,5.0,0.09904909763560564,14.428965075208994,0.8443247223775455,0.7777876188807689,2.411736145240018,0.0,1.006443787771683,,
2018,5,coarse,40,direct,0.7088526789884259,,,112.0,5.0,0.01734675425942572,2.9102489342915057,0.926685932511976,0.8603962347877447,0.26202195721651816,0.703362805264452,3.2991452247567716,,
2018,5,coarse,41,direct,0.6811020592594582,,,162.0,4.0,0.02475819813349527,27.14393201397485,0.7846249212267163,0.900876276591754,1.0994603687653746,0.0,2.0477650060757706,,
2018,5,coarse,42,direct,0.6836847325849907,,,158.0,5.0,0.028672779687180662,12.551613007706257,0.6738624929635467,0.6302820104701345,3.0291077076330977,0.004010204614905998,4.3978300559300285,,
2018,5,coarse,43,direct,0.6768249229240068,,,273.0,3.0,0.018671862071946634,1.401393359198495,0.8126648473219283,0.6976923086352784,14.74241849455122,0.002047013044786316,0.849760462365235,,
2018,5,coarse,44,direct,0.675136016707572,,,161.0,3.0,0.0411317443025174,6.2432411361879065,0.6520146345475489,0.916194628483469,0.11674085337776108,0.022622879972084575,3.859598157434405,,
2018,5,coarse,45,direct,0.6752074191967216,,,352.0,3.0,0.01595947865577667,4.946298920100062,0.9243002770433422,0.7107772098297316,1.3179316260121636,0.0,4.586006590674058,,
2018,5,coarse,46,direct,0.6697299938029093,,,422.0,2.0,0.01797522180633576,7.347411838166395,0.7667650355177703,0.5474379662497563,14.297018369077687,5.229063765246583,1.4506358813304048,,
