horizon,scope,n,symbols,reference_model,candidate_model,reference_qlike,candidate_qlike,relative_gain
5,all,42507,40,current_frozen_har,linear_gamma,0.5430290098522409,0.5340217972953136,0.016586982267076573
5,original_research,22470,21,current_frozen_har,linear_gamma,0.5779117390165246,0.5010689172780264,0.13296636242286297
5,external_generalization,20037,19,current_frozen_har,linear_gamma,0.5044744144601377,0.5704434015249471,-0.1307677558541912
20,all,41907,40,current_frozen_har,ridge_har,0.23869978917562654,0.24930100932723714,-0.04441235657653061
20,original_research,22155,21,current_frozen_har,ridge_har,0.23279953894316524,0.24095928659704516,-0.035050531847797196
20,external_generalization,19752,19,current_frozen_har,ridge_har,0.24522111837992594,0.25852080813429146,-0.05423549913739503
