outer_year,horizon,scope,stage,feature,alpha,median_gain,mean_gain,worst_gain,positive_fold_share,accepted
2020,5,research,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2020,5,deployable,family_forward,attention,0.001,-0.19164827964993758,-0.21584247027947961,-0.335801079677269,0.0,False
2020,5,deployable,family_forward,sentiment,10.0,-0.1220018958244391,-0.13262175428160336,-0.20829131551304378,0.0,False
2020,5,deployable,family_forward,source_diffusion_novelty,10.0,-0.13558669472560375,-0.1451018623901881,-0.22843622799078303,0.0,False
2020,5,deployable,family_forward,events,10.0,-0.07525598917231865,-0.07904137210001477,-0.1362456487011436,0.0,False
2020,5,deployable,family_forward,causal_state,10.0,-0.05056103339002285,-0.04916597655793607,-0.07219817785401904,0.0,False
2020,5,deployable,drop_column,has_news,10.0,-0.0004272160381532204,-0.0001162261859161246,-0.010125089840987436,0.5,False
2020,5,deployable,drop_column,log_count,10.0,0.001768080514832899,0.0020858993302941085,0.0012273999091889742,1.0,True
2020,5,deployable,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2020,5,deployable,drop_column,news_state_silent,10.0,-0.04279094711387463,-0.04301910273404624,-0.06640158825375338,0.0,False
2020,5,deployable,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2021,5,research,family_forward,attention,10.0,-0.21017697177779007,-0.2648036112137284,-0.46087213921251247,0.0,False
2021,5,research,family_forward,sentiment,10.0,-0.11696864720596294,-0.12949113286647526,-0.20829131551304378,0.0,False
2021,5,research,family_forward,source_diffusion_novelty,10.0,-0.14639437776057937,-0.15551204304588567,-0.2563974385847151,0.0,False
2021,5,research,family_forward,events,10.0,-0.07498030684966808,-0.07712642739566988,-0.1362456487011436,0.0,False
2021,5,research,family_forward,causal_state,10.0,-0.05692051636584428,-0.07610434427728487,-0.18385781515468003,0.0,False
2021,5,research,drop_column,has_news,10.0,-0.0015108075372486942,-0.0003951424561826385,-0.010125089840987436,0.4,False
2021,5,research,drop_column,log_count,10.0,0.001774702306989534,0.00215254985560927,0.0012273999091889742,1.0,True
2021,5,research,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2021,5,research,drop_column,news_state_silent,10.0,-0.04615973760705803,-0.0664679759510511,-0.16026346881907055,0.0,False
2021,5,research,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2021,5,deployable,family_forward,attention,10.0,-0.21017697177779007,-0.2648036112137284,-0.46087213921251247,0.0,False
2021,5,deployable,family_forward,sentiment,10.0,-0.11696864720596294,-0.12949113286647526,-0.20829131551304378,0.0,False
2021,5,deployable,family_forward,source_diffusion_novelty,10.0,-0.12587122732048947,-0.1412557353762484,-0.22843622799078303,0.0,False
2021,5,deployable,family_forward,events,10.0,-0.07498030684966808,-0.07712642739566988,-0.1362456487011436,0.0,False
2021,5,deployable,family_forward,causal_state,10.0,-0.05692051636584428,-0.07610434427728487,-0.18385781515468003,0.0,False
2021,5,deployable,drop_column,has_news,10.0,-0.0015108075372486942,-0.0003951424561826385,-0.010125089840987436,0.4,False
2021,5,deployable,drop_column,log_count,10.0,0.001774702306989534,0.00215254985560927,0.0012273999091889742,1.0,True
2021,5,deployable,drop_column,news_state_uncovered,10.0,0.0,0.0,0.0,0.0,False
2021,5,deployable,drop_column,news_state_silent,10.0,-0.04615973760705803,-0.0664679759510511,-0.16026346881907055,0.0,False
2021,5,deployable,drop_column,news_state_stale,10.0,0.0,0.0,0.0,0.0,False
2022,5,research,family_forward,attention,10.0,-0.24150885464465283,-0.2661431322633596,-0.46087213921251247,0.0,False
